speaker_number,vo_overlap,vo_total,total_token_number,overlap,begin,end,file
2,11,141,352,0.07801418439716312,0,50,S432.tsv
2,36,210,759,0.17142857142857143,0,100,S432.tsv
2,44,264,1068,0.16666666666666666,0,150,S432.tsv
2,60,326,1387,0.18404907975460122,0,200,S432.tsv
2,73,394,1757,0.18527918781725888,0,250,S432.tsv
2,93,452,2171,0.20575221238938052,0,300,S432.tsv
2,104,501,2483,0.20758483033932135,0,350,S432.tsv
2,120,537,2877,0.22346368715083798,0,400,S432.tsv
2,135,599,3258,0.22537562604340566,0,450,S432.tsv
2,151,637,3587,0.2370486656200942,0,500,S432.tsv
2,167,679,3893,0.24594992636229748,0,550,S432.tsv
2,186,726,4283,0.256198347107438,0,600,S432.tsv
2,206,784,4732,0.2627551020408163,0,650,S432.tsv
2,219,841,5153,0.26040428061831156,0,700,S432.tsv
2,235,873,5500,0.26918671248568155,0,750,S432.tsv
2,249,896,5838,0.2779017857142857,0,800,S432.tsv
2,253,908,6078,0.2786343612334802,0,836,S432.tsv
