speaker_number,vo_overlap,vo_total,total_token_number,overlap,begin,end,file
2,24,189,492,0.12698412698412698,0,50,S9GP.tsv
2,49,295,1002,0.16610169491525423,0,100,S9GP.tsv
2,87,426,1966,0.20422535211267606,0,150,S9GP.tsv
2,97,490,2414,0.19795918367346937,0,200,S9GP.tsv
2,125,580,3031,0.21551724137931033,0,250,S9GP.tsv
2,151,676,3910,0.22337278106508876,0,300,S9GP.tsv
2,165,703,4451,0.23470839260312945,0,350,S9GP.tsv
2,186,788,5212,0.23604060913705585,0,400,S9GP.tsv
2,202,831,5757,0.2430806257521059,0,450,S9GP.tsv
2,217,876,6342,0.24771689497716895,0,500,S9GP.tsv
2,234,915,6834,0.25573770491803277,0,550,S9GP.tsv
2,257,1001,7736,0.25674325674325676,0,600,S9GP.tsv
2,266,1042,8332,0.255278310940499,0,650,S9GP.tsv
2,279,1078,8903,0.2588126159554731,0,700,S9GP.tsv
2,304,1139,9512,0.266900790166813,0,750,S9GP.tsv
2,324,1196,10283,0.2709030100334448,0,800,S9GP.tsv
2,352,1312,11529,0.2682926829268293,0,850,S9GP.tsv
2,369,1367,12310,0.26993416239941476,0,900,S9GP.tsv
2,390,1451,13400,0.2687801516195727,0,950,S9GP.tsv
2,392,1457,13529,0.26904598490048043,0,962,S9GP.tsv
