speaker_number,vo_overlap,vo_total,total_token_number,overlap,begin,end,file
2,29,186,444,0.15591397849462366,0,50,SJE3.tsv
2,49,270,902,0.1814814814814815,0,100,SJE3.tsv
2,67,323,1283,0.20743034055727555,0,150,SJE3.tsv
2,81,378,1708,0.21428571428571427,0,200,SJE3.tsv
2,108,449,2228,0.24053452115812918,0,250,SJE3.tsv
2,127,516,2869,0.24612403100775193,0,300,SJE3.tsv
2,156,562,3421,0.2775800711743772,0,350,SJE3.tsv
2,166,623,4145,0.2664526484751204,0,400,SJE3.tsv
2,177,650,4650,0.2723076923076923,0,450,SJE3.tsv
2,187,677,5173,0.276218611521418,0,500,SJE3.tsv
2,200,713,5810,0.2805049088359046,0,550,SJE3.tsv
2,209,754,6294,0.27718832891246686,0,600,SJE3.tsv
2,226,790,6831,0.28607594936708863,0,650,SJE3.tsv
2,242,813,7211,0.2976629766297663,0,700,SJE3.tsv
2,249,838,7711,0.2971360381861575,0,750,SJE3.tsv
2,259,861,8233,0.3008130081300813,0,800,SJE3.tsv
2,275,896,8748,0.30691964285714285,0,850,SJE3.tsv
2,287,920,9127,0.3119565217391304,0,900,SJE3.tsv
2,293,938,9467,0.31236673773987206,0,950,SJE3.tsv
2,311,967,9909,0.3216132368148914,0,1000,SJE3.tsv
2,327,1002,10329,0.3263473053892216,0,1050,SJE3.tsv
2,333,1016,10548,0.327755905511811,0,1072,SJE3.tsv
