speaker_number,vo_overlap,vo_total,total_token_number,overlap,begin,end,file
2,21,211,580,0.0995260663507109,0,50,SL76.tsv
2,48,320,1205,0.15,0,100,SL76.tsv
2,59,404,1870,0.14603960396039603,0,150,SL76.tsv
2,85,496,2583,0.17137096774193547,0,200,SL76.tsv
2,99,548,2981,0.18065693430656934,0,250,SL76.tsv
2,118,629,3848,0.1875993640699523,0,300,SL76.tsv
2,142,722,5007,0.19667590027700832,0,350,SL76.tsv
2,160,766,5501,0.20887728459530025,0,400,SL76.tsv
2,165,790,5952,0.2088607594936709,0,450,SL76.tsv
2,179,836,6412,0.21411483253588517,0,500,SL76.tsv
2,194,859,6863,0.22584400465657742,0,550,SL76.tsv
2,212,903,7330,0.23477297895902546,0,600,SL76.tsv
2,238,947,7709,0.25131995776135163,0,650,SL76.tsv
2,244,977,8057,0.24974411463664278,0,700,SL76.tsv
2,260,1015,8513,0.2561576354679803,0,750,SL76.tsv
2,272,1042,8942,0.26103646833013433,0,800,SL76.tsv
2,282,1087,9343,0.2594296228150874,0,850,SL76.tsv
2,293,1111,9820,0.26372637263726373,0,900,SL76.tsv
2,301,1136,10136,0.2649647887323944,0,943,SL76.tsv
