speaker_number,vo_overlap,vo_total,total_token_number,overlap,begin,end,file
2,24,274,899,0.08759124087591241,0,50,SLDD.tsv
2,36,364,1395,0.0989010989010989,0,100,SLDD.tsv
2,67,433,1911,0.15473441108545036,0,150,SLDD.tsv
2,96,500,2454,0.192,0,200,SLDD.tsv
2,116,555,2872,0.209009009009009,0,250,SLDD.tsv
2,140,606,3311,0.23102310231023102,0,300,SLDD.tsv
2,149,645,3631,0.2310077519379845,0,350,SLDD.tsv
2,162,676,4055,0.23964497041420119,0,400,SLDD.tsv
2,184,710,4439,0.2591549295774648,0,450,SLDD.tsv
2,190,767,4938,0.24771838331160365,0,500,SLDD.tsv
2,207,809,5377,0.2558714462299135,0,550,SLDD.tsv
2,236,874,5889,0.2700228832951945,0,600,SLDD.tsv
2,248,905,6238,0.2740331491712707,0,650,SLDD.tsv
2,274,948,6697,0.2890295358649789,0,700,SLDD.tsv
2,293,980,7106,0.29897959183673467,0,750,SLDD.tsv
2,306,1013,7481,0.3020730503455084,0,794,SLDD.tsv
