speaker_number,vo_overlap,vo_total,total_token_number,overlap,begin,end,file
2,17,160,369,0.10625,0,50,SPYD.tsv
2,33,234,631,0.14102564102564102,0,100,SPYD.tsv
2,52,302,1043,0.17218543046357615,0,150,SPYD.tsv
2,71,369,1399,0.19241192411924118,0,200,SPYD.tsv
2,91,425,1793,0.21411764705882352,0,250,SPYD.tsv
2,103,492,2201,0.20934959349593496,0,300,SPYD.tsv
2,120,540,2613,0.2222222222222222,0,350,SPYD.tsv
2,130,594,3071,0.21885521885521886,0,400,SPYD.tsv
2,145,657,3581,0.2207001522070015,0,450,SPYD.tsv
2,156,706,4025,0.22096317280453256,0,500,SPYD.tsv
2,169,735,4455,0.22993197278911565,0,550,SPYD.tsv
2,183,776,4803,0.23582474226804123,0,600,SPYD.tsv
2,202,821,5139,0.24604141291108406,0,650,SPYD.tsv
2,217,847,5450,0.256198347107438,0,700,SPYD.tsv
2,232,877,5755,0.2645381984036488,0,750,SPYD.tsv
2,246,906,5969,0.271523178807947,0,800,SPYD.tsv
2,264,937,6268,0.28175026680896476,0,850,SPYD.tsv
2,279,966,6564,0.2888198757763975,0,900,SPYD.tsv
2,295,1001,6933,0.2947052947052947,0,950,SPYD.tsv
2,301,1024,7217,0.2939453125,0,1000,SPYD.tsv
2,310,1056,7588,0.2935606060606061,0,1050,SPYD.tsv
2,321,1080,7852,0.2972222222222222,0,1100,SPYD.tsv
2,333,1116,8230,0.29838709677419356,0,1150,SPYD.tsv
2,340,1132,8451,0.3003533568904594,0,1190,SPYD.tsv
