speaker_number,vo_overlap,vo_total,total_token_number,overlap,begin,end,file
2,21,152,409,0.13815789473684212,0,50,SZKE.tsv
2,38,238,775,0.15966386554621848,0,100,SZKE.tsv
2,50,299,1093,0.16722408026755853,0,150,SZKE.tsv
2,71,359,1537,0.1977715877437326,0,200,SZKE.tsv
2,93,451,2095,0.20620842572062084,0,250,SZKE.tsv
2,106,498,2574,0.21285140562248997,0,300,SZKE.tsv
2,121,527,3007,0.22960151802656548,0,350,SZKE.tsv
2,130,566,3402,0.22968197879858657,0,400,SZKE.tsv
2,143,608,3779,0.23519736842105263,0,450,SZKE.tsv
2,157,631,4088,0.24881141045958796,0,500,SZKE.tsv
2,169,667,4411,0.25337331334332835,0,550,SZKE.tsv
2,185,704,4754,0.2627840909090909,0,600,SZKE.tsv
2,194,720,4969,0.26944444444444443,0,630,SZKE.tsv
