speaker_number,vo_overlap,vo_total,total_token_number,overlap,begin,end,file
2,55,197,532,0.27918781725888325,0,50,S6J2.tsv
2,65,216,665,0.30092592592592593,50,100,S6J2.tsv
2,57,255,653,0.2235294117647059,100,150,S6J2.tsv
2,56,304,833,0.18421052631578946,150,200,S6J2.tsv
2,77,265,816,0.29056603773584905,200,250,S6J2.tsv
2,70,232,608,0.3017241379310345,250,300,S6J2.tsv
2,45,158,334,0.2848101265822785,300,350,S6J2.tsv
2,45,168,466,0.26785714285714285,350,400,S6J2.tsv
2,64,194,663,0.32989690721649484,400,450,S6J2.tsv
2,74,238,723,0.31092436974789917,450,500,S6J2.tsv
2,68,231,630,0.2943722943722944,500,550,S6J2.tsv
2,68,233,723,0.2918454935622318,550,600,S6J2.tsv
2,58,200,557,0.29,600,650,S6J2.tsv
2,59,191,520,0.3089005235602094,650,700,S6J2.tsv
2,36,208,644,0.17307692307692307,700,750,S6J2.tsv
2,57,201,618,0.2835820895522388,750,800,S6J2.tsv
2,53,250,792,0.212,800,850,S6J2.tsv
2,77,263,803,0.29277566539923955,850,900,S6J2.tsv
2,50,158,466,0.31645569620253167,900,950,S6J2.tsv
2,63,196,515,0.32142857142857145,950,1000,S6J2.tsv
2,4,33,41,0.12121212121212122,1000,1008,S6J2.tsv
