speaker_number,vo_overlap,vo_total,total_token_number,overlap,begin,end,file
2,58,177,533,0.327683615819209,0,50,SBG4.tsv
2,92,361,1241,0.2548476454293629,50,100,SBG4.tsv
2,45,240,538,0.1875,100,150,SBG4.tsv
2,84,243,676,0.345679012345679,150,200,SBG4.tsv
2,56,202,487,0.27722772277227725,200,250,SBG4.tsv
2,48,173,395,0.2774566473988439,250,300,SBG4.tsv
2,37,190,451,0.19473684210526315,300,350,SBG4.tsv
2,55,207,498,0.26570048309178745,350,400,SBG4.tsv
2,48,206,494,0.23300970873786409,400,450,SBG4.tsv
2,59,253,787,0.233201581027668,450,500,SBG4.tsv
2,59,213,609,0.27699530516431925,500,550,SBG4.tsv
2,80,236,875,0.3389830508474576,550,600,SBG4.tsv
2,74,279,832,0.26523297491039427,600,650,SBG4.tsv
2,79,218,745,0.3623853211009174,650,700,SBG4.tsv
2,64,256,815,0.25,700,750,SBG4.tsv
