speaker_number,vo_overlap,vo_total,total_token_number,overlap,begin,end,file
2,67,238,714,0.2815126050420168,0,50,SBVQ.tsv
2,40,187,503,0.21390374331550802,50,100,SBVQ.tsv
2,28,202,508,0.13861386138613863,100,150,SBVQ.tsv
2,36,182,448,0.1978021978021978,150,200,SBVQ.tsv
2,36,217,581,0.16589861751152074,200,250,SBVQ.tsv
2,44,178,464,0.24719101123595505,250,300,SBVQ.tsv
2,54,201,467,0.26865671641791045,300,350,SBVQ.tsv
2,51,169,425,0.30177514792899407,350,400,SBVQ.tsv
2,59,193,493,0.30569948186528495,400,450,SBVQ.tsv
2,59,213,494,0.27699530516431925,450,500,SBVQ.tsv
2,50,194,470,0.25773195876288657,500,550,SBVQ.tsv
2,39,185,466,0.21081081081081082,550,600,SBVQ.tsv
2,61,183,578,0.3333333333333333,600,650,SBVQ.tsv
2,58,201,553,0.2885572139303483,650,700,SBVQ.tsv
2,50,200,511,0.25,700,750,SBVQ.tsv
2,49,264,907,0.1856060606060606,750,800,SBVQ.tsv
2,36,129,342,0.27906976744186046,800,850,SBVQ.tsv
2,55,153,446,0.35947712418300654,850,900,SBVQ.tsv
2,52,155,408,0.33548387096774196,900,950,SBVQ.tsv
2,33,118,312,0.2796610169491525,950,1000,SBVQ.tsv
2,35,113,330,0.30973451327433627,1000,1050,SBVQ.tsv
2,48,145,380,0.3310344827586207,1050,1100,SBVQ.tsv
2,49,169,506,0.28994082840236685,1100,1150,SBVQ.tsv
2,44,174,419,0.25287356321839083,1150,1200,SBVQ.tsv
2,42,155,367,0.2709677419354839,1200,1250,SBVQ.tsv
2,26,231,704,0.11255411255411256,1250,1300,SBVQ.tsv
2,31,149,474,0.2080536912751678,1300,1350,SBVQ.tsv
2,37,174,391,0.21264367816091953,1350,1400,SBVQ.tsv
2,35,210,576,0.16666666666666666,1400,1450,SBVQ.tsv
2,37,174,409,0.21264367816091953,1450,1500,SBVQ.tsv
2,59,168,491,0.35119047619047616,1500,1550,SBVQ.tsv
2,57,212,549,0.2688679245283019,1550,1600,SBVQ.tsv
2,58,170,447,0.3411764705882353,1600,1650,SBVQ.tsv
2,47,196,565,0.23979591836734693,1650,1700,SBVQ.tsv
2,32,154,382,0.2077922077922078,1700,1750,SBVQ.tsv
2,39,167,410,0.23353293413173654,1750,1800,SBVQ.tsv
2,37,181,479,0.20441988950276244,1800,1850,SBVQ.tsv
2,45,159,393,0.2830188679245283,1850,1900,SBVQ.tsv
2,53,162,473,0.3271604938271605,1900,1950,SBVQ.tsv
2,49,153,388,0.3202614379084967,1950,1998,SBVQ.tsv
