speaker_number,vo_overlap,vo_total,total_token_number,overlap,begin,end,file
2,16,153,499,0.10457516339869281,0,50,SCQW.tsv
2,37,168,459,0.22023809523809523,50,100,SCQW.tsv
2,31,153,444,0.20261437908496732,100,150,SCQW.tsv
2,40,130,348,0.3076923076923077,150,200,SCQW.tsv
2,49,157,477,0.31210191082802546,200,250,SCQW.tsv
2,29,152,447,0.19078947368421054,250,300,SCQW.tsv
2,22,148,375,0.14864864864864866,300,350,SCQW.tsv
2,40,158,454,0.25316455696202533,350,400,SCQW.tsv
2,55,203,689,0.270935960591133,400,450,SCQW.tsv
2,30,126,262,0.23809523809523808,450,485,SCQW.tsv
