speaker_number,vo_overlap,vo_total,total_token_number,overlap,begin,end,file
2,50,220,707,0.22727272727272727,0,50,SEZ2.tsv
2,56,214,665,0.2616822429906542,50,100,SEZ2.tsv
2,36,166,508,0.21686746987951808,100,150,SEZ2.tsv
2,74,234,785,0.3162393162393162,150,200,SEZ2.tsv
2,49,150,442,0.32666666666666666,200,250,SEZ2.tsv
2,53,174,499,0.3045977011494253,250,300,SEZ2.tsv
2,46,155,431,0.2967741935483871,300,350,SEZ2.tsv
2,60,202,631,0.297029702970297,350,400,SEZ2.tsv
2,34,137,407,0.24817518248175183,400,450,SEZ2.tsv
2,57,191,544,0.29842931937172773,450,500,SEZ2.tsv
2,49,162,448,0.30246913580246915,500,550,SEZ2.tsv
2,47,144,456,0.3263888888888889,550,600,SEZ2.tsv
2,51,187,595,0.2727272727272727,600,650,SEZ2.tsv
2,52,199,559,0.2613065326633166,650,700,SEZ2.tsv
2,60,168,558,0.35714285714285715,700,750,SEZ2.tsv
2,58,165,470,0.3515151515151515,750,800,SEZ2.tsv
2,56,170,478,0.32941176470588235,800,850,SEZ2.tsv
2,5,26,39,0.19230769230769232,850,858,SEZ2.tsv
