speaker_number,vo_overlap,vo_total,total_token_number,overlap,begin,end,file
2,29,189,473,0.15343915343915343,0,50,SFG3.tsv
2,38,179,487,0.2122905027932961,50,100,SFG3.tsv
2,22,125,307,0.176,100,150,SFG3.tsv
2,35,164,415,0.21341463414634146,150,200,SFG3.tsv
2,48,209,581,0.22966507177033493,200,250,SFG3.tsv
2,29,161,408,0.18012422360248448,250,300,SFG3.tsv
2,11,174,431,0.06321839080459771,300,350,SFG3.tsv
2,20,170,467,0.11764705882352941,350,400,SFG3.tsv
2,47,184,543,0.2554347826086957,400,450,SFG3.tsv
2,24,130,306,0.18461538461538463,450,500,SFG3.tsv
2,32,152,351,0.21052631578947367,500,550,SFG3.tsv
2,36,147,368,0.24489795918367346,550,600,SFG3.tsv
2,38,149,339,0.2550335570469799,600,650,SFG3.tsv
2,18,141,333,0.1276595744680851,650,700,SFG3.tsv
2,29,132,303,0.2196969696969697,700,750,SFG3.tsv
2,35,171,449,0.2046783625730994,750,800,SFG3.tsv
2,9,247,770,0.03643724696356275,800,850,SFG3.tsv
2,24,166,410,0.14457831325301204,850,900,SFG3.tsv
2,17,158,387,0.10759493670886076,900,950,SFG3.tsv
2,25,184,569,0.1358695652173913,950,1000,SFG3.tsv
2,12,195,547,0.06153846153846154,1000,1050,SFG3.tsv
2,50,180,486,0.2777777777777778,1050,1100,SFG3.tsv
2,25,216,696,0.11574074074074074,1100,1150,SFG3.tsv
2,4,202,581,0.019801980198019802,1150,1200,SFG3.tsv
2,43,166,487,0.25903614457831325,1200,1250,SFG3.tsv
2,30,195,571,0.15384615384615385,1250,1300,SFG3.tsv
2,22,204,558,0.10784313725490197,1300,1350,SFG3.tsv
2,40,219,715,0.182648401826484,1350,1400,SFG3.tsv
2,41,154,419,0.2662337662337662,1400,1450,SFG3.tsv
2,27,162,399,0.16666666666666666,1450,1500,SFG3.tsv
2,45,178,478,0.25280898876404495,1500,1550,SFG3.tsv
2,46,160,421,0.2875,1550,1600,SFG3.tsv
2,34,177,456,0.192090395480226,1600,1650,SFG3.tsv
2,29,153,344,0.1895424836601307,1650,1700,SFG3.tsv
2,34,169,423,0.20118343195266272,1700,1750,SFG3.tsv
2,62,177,513,0.3502824858757062,1750,1800,SFG3.tsv
2,64,222,644,0.2882882882882883,1800,1850,SFG3.tsv
2,76,222,678,0.34234234234234234,1850,1900,SFG3.tsv
2,41,143,404,0.2867132867132867,1900,1950,SFG3.tsv
2,55,199,564,0.27638190954773867,1950,2000,SFG3.tsv
2,7,53,90,0.1320754716981132,2000,2011,SFG3.tsv
