speaker_number,vo_overlap,vo_total,total_token_number,overlap,begin,end,file
2,59,193,557,0.30569948186528495,0,50,STNX.tsv
2,51,173,471,0.2947976878612717,50,100,STNX.tsv
2,38,184,523,0.20652173913043478,100,150,STNX.tsv
2,59,224,616,0.26339285714285715,150,200,STNX.tsv
2,31,164,384,0.18902439024390244,200,250,STNX.tsv
2,47,145,356,0.32413793103448274,250,300,STNX.tsv
2,31,133,280,0.23308270676691728,300,350,STNX.tsv
2,32,151,342,0.2119205298013245,350,400,STNX.tsv
2,39,153,320,0.2549019607843137,400,450,STNX.tsv
2,42,225,625,0.18666666666666668,450,500,STNX.tsv
2,56,195,608,0.28717948717948716,500,550,STNX.tsv
2,45,150,375,0.3,550,600,STNX.tsv
2,13,103,182,0.1262135922330097,600,621,STNX.tsv
