speaker_number,vo_overlap,vo_total,total_token_number,overlap,begin,end,file
2,37,157,418,0.2356687898089172,0,50,SUPV.tsv
2,51,246,638,0.2073170731707317,50,100,SUPV.tsv
2,31,118,242,0.2627118644067797,100,150,SUPV.tsv
2,26,152,370,0.17105263157894737,150,200,SUPV.tsv
2,31,154,356,0.2012987012987013,200,250,SUPV.tsv
2,24,211,542,0.11374407582938388,250,300,SUPV.tsv
2,40,160,411,0.25,300,350,SUPV.tsv
2,33,123,265,0.2682926829268293,350,400,SUPV.tsv
2,36,154,378,0.23376623376623376,400,450,SUPV.tsv
2,55,178,447,0.3089887640449438,450,500,SUPV.tsv
2,34,247,712,0.13765182186234817,500,550,SUPV.tsv
2,40,190,538,0.21052631578947367,550,600,SUPV.tsv
2,35,158,371,0.22151898734177214,600,650,SUPV.tsv
2,25,246,629,0.1016260162601626,650,700,SUPV.tsv
2,43,209,517,0.20574162679425836,700,750,SUPV.tsv
2,31,168,376,0.18452380952380953,750,800,SUPV.tsv
2,40,139,298,0.28776978417266186,800,850,SUPV.tsv
2,42,150,346,0.28,850,900,SUPV.tsv
2,40,165,397,0.24242424242424243,900,950,SUPV.tsv
2,43,159,407,0.27044025157232704,950,1000,SUPV.tsv
2,25,104,187,0.2403846153846154,1000,1027,SUPV.tsv
