speaker_number,vo_overlap,vo_total,total_token_number,overlap,begin,end,file
2,41,137,358,0.29927007299270075,0,50,SVCT.tsv
2,46,155,412,0.2967741935483871,50,100,SVCT.tsv
2,43,177,542,0.24293785310734464,100,150,SVCT.tsv
2,50,217,606,0.2304147465437788,150,200,SVCT.tsv
2,58,235,731,0.24680851063829787,200,250,SVCT.tsv
2,51,155,404,0.32903225806451614,250,300,SVCT.tsv
2,60,182,479,0.32967032967032966,300,350,SVCT.tsv
2,56,186,561,0.3010752688172043,350,400,SVCT.tsv
2,53,202,566,0.2623762376237624,400,450,SVCT.tsv
2,27,104,246,0.25961538461538464,450,486,SVCT.tsv
