speaker_number,vo_overlap,vo_total,total_token_number,overlap,begin,end,file
2,55,155,407,0.3548387096774194,0,50,SYJK.tsv
2,35,170,360,0.20588235294117646,50,100,SYJK.tsv
2,20,182,427,0.10989010989010989,100,150,SYJK.tsv
2,35,191,430,0.18324607329842932,150,200,SYJK.tsv
2,36,189,601,0.19047619047619047,200,250,SYJK.tsv
2,42,161,467,0.2608695652173913,250,300,SYJK.tsv
2,25,229,723,0.1091703056768559,300,350,SYJK.tsv
2,23,120,338,0.19166666666666668,350,400,SYJK.tsv
2,28,173,552,0.16184971098265896,400,450,SYJK.tsv
2,41,154,406,0.2662337662337662,450,500,SYJK.tsv
2,34,154,336,0.22077922077922077,500,550,SYJK.tsv
2,52,175,482,0.29714285714285715,550,600,SYJK.tsv
2,31,156,372,0.1987179487179487,600,650,SYJK.tsv
2,23,209,616,0.11004784688995216,650,700,SYJK.tsv
2,34,181,495,0.1878453038674033,700,750,SYJK.tsv
2,36,161,556,0.2236024844720497,750,800,SYJK.tsv
2,36,185,543,0.1945945945945946,800,850,SYJK.tsv
2,28,139,368,0.2014388489208633,850,900,SYJK.tsv
2,30,200,534,0.15,900,950,SYJK.tsv
2,43,211,591,0.2037914691943128,950,1000,SYJK.tsv
2,52,205,553,0.25365853658536586,1000,1050,SYJK.tsv
2,29,123,268,0.23577235772357724,1050,1100,SYJK.tsv
2,48,183,456,0.26229508196721313,1100,1150,SYJK.tsv
2,29,152,353,0.19078947368421054,1150,1199,SYJK.tsv
