speaker_number,vo_overlap,vo_total,total_token_number,overlap,begin,end,file
2,30,168,444,0.17857142857142858,0,50,SZVB.tsv
2,39,206,628,0.18932038834951456,50,100,SZVB.tsv
2,42,229,655,0.18340611353711792,100,150,SZVB.tsv
2,67,159,508,0.42138364779874216,150,200,SZVB.tsv
2,52,189,659,0.2751322751322751,200,250,SZVB.tsv
2,46,173,494,0.2658959537572254,250,300,SZVB.tsv
2,43,181,522,0.23756906077348067,300,350,SZVB.tsv
2,39,149,397,0.26174496644295303,350,400,SZVB.tsv
2,55,154,409,0.35714285714285715,400,450,SZVB.tsv
2,48,168,471,0.2857142857142857,450,500,SZVB.tsv
2,49,162,459,0.30246913580246915,500,550,SZVB.tsv
2,43,182,521,0.23626373626373626,550,600,SZVB.tsv
2,41,153,373,0.2679738562091503,600,650,SZVB.tsv
2,44,153,416,0.2875816993464052,650,700,SZVB.tsv
2,47,167,456,0.281437125748503,700,750,SZVB.tsv
2,53,175,481,0.3028571428571429,750,800,SZVB.tsv
2,23,166,452,0.13855421686746988,800,850,SZVB.tsv
2,56,199,603,0.2814070351758794,850,900,SZVB.tsv
2,53,164,492,0.3231707317073171,900,950,SZVB.tsv
2,35,174,465,0.20114942528735633,950,1000,SZVB.tsv
2,48,142,387,0.3380281690140845,1000,1050,SZVB.tsv
2,41,190,515,0.21578947368421053,1050,1100,SZVB.tsv
2,50,200,494,0.25,1100,1150,SZVB.tsv
2,38,189,588,0.20105820105820105,1150,1200,SZVB.tsv
2,49,223,649,0.21973094170403587,1200,1250,SZVB.tsv
2,56,236,756,0.23728813559322035,1250,1300,SZVB.tsv
2,29,161,458,0.18012422360248448,1300,1350,SZVB.tsv
2,44,152,373,0.2894736842105263,1350,1389,SZVB.tsv
