speaker_number,vo_overlap,vo_total,total_token_number,overlap,s1_and_other,s2_and_other,s3_and_other,begin,end,file
3,82,173,476,0.1579961464354528,19,35,28,0,50,S38P.tsv
3,164,238,857,0.22969187675070027,39,69,56,0,100,S38P.tsv
3,213,307,1297,0.23127035830618892,44,92,77,0,150,S38P.tsv
3,256,339,1539,0.25172074729596855,60,105,91,0,200,S38P.tsv
3,302,377,1816,0.26702033598585323,75,118,109,0,250,S38P.tsv
3,351,409,2079,0.2860635696821516,82,139,130,0,300,S38P.tsv
3,382,436,2403,0.29204892966360857,92,151,139,0,350,S38P.tsv
3,401,468,2682,0.28561253561253563,98,158,145,0,400,S38P.tsv
3,421,512,3077,0.2740885416666667,100,168,153,0,450,S38P.tsv
3,468,544,3441,0.2867647058823529,114,185,169,0,500,S38P.tsv
3,504,573,3689,0.2931937172774869,127,195,182,0,550,S38P.tsv
3,538,595,3947,0.3014005602240896,148,203,187,0,600,S38P.tsv
3,564,621,4213,0.3027375201288245,161,209,194,0,650,S38P.tsv
3,579,644,4537,0.2996894409937888,165,215,199,0,700,S38P.tsv
3,600,683,5035,0.29282576866764276,170,224,206,0,750,S38P.tsv
3,627,701,5396,0.29814550641940085,176,236,215,0,800,S38P.tsv
3,657,729,5703,0.3004115226337449,182,246,229,0,850,S38P.tsv
3,693,748,6039,0.3088235294117647,193,260,240,0,900,S38P.tsv
3,710,760,6247,0.31140350877192985,195,266,249,0,950,S38P.tsv
3,732,778,6584,0.31362467866323906,196,278,258,0,1000,S38P.tsv
3,760,804,7008,0.3150912106135987,209,289,262,0,1050,S38P.tsv
3,778,830,7324,0.31244979919678717,215,295,268,0,1100,S38P.tsv
3,815,844,7548,0.32187993680884674,224,309,282,0,1150,S38P.tsv
3,846,862,7750,0.3271461716937355,231,320,295,0,1200,S38P.tsv
3,859,877,7959,0.32649182820220446,236,324,299,0,1250,S38P.tsv
3,879,892,8244,0.32847533632286996,242,330,307,0,1300,S38P.tsv
3,895,904,8601,0.3300147492625369,243,337,315,0,1350,S38P.tsv
3,914,912,8861,0.3340643274853801,248,345,321,0,1400,S38P.tsv
3,918,926,9148,0.3304535637149028,249,346,323,0,1450,S38P.tsv
3,932,964,9673,0.32226832641770403,252,354,326,0,1500,S38P.tsv
3,942,981,9991,0.3200815494393476,254,358,330,0,1550,S38P.tsv
3,961,1002,10275,0.31969394544244845,259,363,339,0,1600,S38P.tsv
3,985,1015,10592,0.32348111658456485,263,372,350,0,1650,S38P.tsv
3,995,1042,10931,0.31829814459373,265,376,354,0,1700,S38P.tsv
3,1015,1061,11190,0.31888155827835374,274,382,359,0,1750,S38P.tsv
3,1029,1070,11360,0.3205607476635514,278,388,363,0,1794,S38P.tsv
