speaker_number,vo_overlap,vo_total,total_token_number,overlap,s1_and_other,s2_and_other,s3_and_other,begin,end,file
3,100,171,464,0.1949317738791423,39,23,38,0,50,SJSQ.tsv
3,180,230,870,0.2608695652173913,69,58,53,0,100,SJSQ.tsv
3,242,292,1332,0.2762557077625571,98,82,62,0,150,SJSQ.tsv
3,297,382,1849,0.2591623036649215,123,108,66,0,200,SJSQ.tsv
3,329,438,2260,0.2503805175038052,138,125,66,0,250,SJSQ.tsv
3,374,531,2883,0.23477715003138733,157,143,74,0,300,SJSQ.tsv
3,412,647,3599,0.21226172076249356,175,159,78,0,350,SJSQ.tsv
3,478,713,4305,0.22346891070593736,204,184,90,0,400,SJSQ.tsv
3,508,769,4941,0.2201993931512787,216,193,99,0,450,SJSQ.tsv
3,553,812,5423,0.22701149425287356,232,202,119,0,500,SJSQ.tsv
3,605,855,5887,0.23586744639376217,247,214,144,0,550,SJSQ.tsv
3,655,903,6332,0.24178663713547435,265,222,168,0,600,SJSQ.tsv
3,705,944,6771,0.2489406779661017,280,232,193,0,650,SJSQ.tsv
3,748,989,7252,0.25210650488709135,295,239,214,0,700,SJSQ.tsv
3,784,1039,7786,0.2515239011870388,308,248,228,0,750,SJSQ.tsv
3,816,1080,8260,0.2518518518518518,322,253,241,0,800,SJSQ.tsv
3,859,1112,8675,0.2574940047961631,337,260,262,0,850,SJSQ.tsv
3,911,1146,9073,0.2649796393251891,356,270,285,0,900,SJSQ.tsv
3,959,1185,9641,0.26976090014064696,376,274,309,0,950,SJSQ.tsv
3,1002,1212,10077,0.2755775577557756,391,282,329,0,1000,SJSQ.tsv
3,1042,1232,10423,0.2819264069264069,403,292,347,0,1030,SJSQ.tsv
