speaker_number,vo_overlap,vo_total,total_token_number,overlap,s1_and_other,s2_and_other,s3_and_other,begin,end,file
3,128,207,572,0.20611916264090177,58,56,14,0,50,SM8P.tsv
3,223,333,1163,0.22322322322322322,101,99,23,0,100,SM8P.tsv
3,287,424,1740,0.22562893081761007,130,123,34,0,150,SM8P.tsv
3,367,489,2166,0.2501704158145876,156,137,74,0,200,SM8P.tsv
3,438,566,2879,0.2579505300353357,188,173,77,0,250,SM8P.tsv
3,505,648,3601,0.25977366255144035,214,197,94,0,300,SM8P.tsv
3,571,694,4139,0.27425552353506244,234,214,123,0,350,SM8P.tsv
3,637,737,4619,0.2881049298959747,261,235,141,0,400,SM8P.tsv
3,717,805,5348,0.2968944099378882,297,274,146,0,450,SM8P.tsv
3,757,836,5883,0.3018341307814992,316,291,150,0,500,SM8P.tsv
3,803,869,6363,0.3080168776371308,327,305,171,0,550,SM8P.tsv
3,865,917,6956,0.3144311159578335,339,323,203,0,600,SM8P.tsv
3,903,965,7491,0.31191709844559584,357,336,210,0,650,SM8P.tsv
3,951,1022,8207,0.3101761252446184,380,358,213,0,700,SM8P.tsv
3,972,1060,8819,0.30566037735849055,390,368,214,0,750,SM8P.tsv
3,1003,1084,9305,0.30842558425584254,406,381,216,0,800,SM8P.tsv
3,1063,1138,10001,0.3113649677797305,436,410,217,0,850,SM8P.tsv
3,1120,1209,10775,0.30879514750482495,460,438,222,0,900,SM8P.tsv
3,1155,1273,11595,0.30243519245875883,476,455,224,0,950,SM8P.tsv
3,1192,1315,12233,0.30215462610899874,494,473,225,0,999,SM8P.tsv
