speaker_number,vo_overlap,vo_total,total_token_number,overlap,s1_and_other,s2_and_other,s3_and_other,begin,end,file
3,98,147,373,0.2222222222222222,49,49,0,0,50,STNE.tsv
3,156,230,751,0.22608695652173913,78,78,0,0,100,STNE.tsv
3,215,310,1165,0.23118279569892472,107,107,1,0,150,STNE.tsv
3,321,379,1575,0.28232189973614774,132,126,63,0,200,STNE.tsv
3,390,420,1993,0.30952380952380953,153,141,96,0,250,STNE.tsv
3,449,461,2328,0.32465654374548086,171,161,117,0,300,STNE.tsv
3,495,508,2640,0.3248031496062992,191,172,132,0,350,STNE.tsv
3,564,545,3031,0.344954128440367,215,187,162,0,400,STNE.tsv
3,611,584,3390,0.3487442922374429,234,210,167,0,450,STNE.tsv
3,664,652,3849,0.3394683026584867,259,238,167,0,500,STNE.tsv
3,698,696,4337,0.3342911877394636,270,256,172,0,550,STNE.tsv
3,738,732,4953,0.3360655737704918,287,276,175,0,600,STNE.tsv
3,779,788,5673,0.32952622673434856,304,297,178,0,650,STNE.tsv
3,812,831,6319,0.3257119935820297,319,314,179,0,700,STNE.tsv
3,846,879,6979,0.32081911262798635,336,328,182,0,750,STNE.tsv
3,874,905,7364,0.3219152854511971,350,340,184,0,800,STNE.tsv
3,897,923,7667,0.323943661971831,362,350,185,0,850,STNE.tsv
3,927,952,8131,0.3245798319327731,376,364,187,0,900,STNE.tsv
3,950,974,8662,0.32511978097193706,387,376,187,0,950,STNE.tsv
3,978,1008,9160,0.32341269841269843,402,389,187,0,1000,STNE.tsv
3,996,1030,9522,0.32233009708737864,412,397,187,0,1035,STNE.tsv
