speaker_number,vo_overlap,vo_total,total_token_number,overlap,s1_and_other,s2_and_other,s3_and_other,begin,end,file
3,130,250,706,0.17333333333333334,65,65,0,0,50,STSS.tsv
3,226,339,1175,0.2222222222222222,113,113,0,0,100,STSS.tsv
3,248,401,1526,0.20615128844555278,124,124,0,0,150,STSS.tsv
3,306,492,2022,0.2073170731707317,153,153,0,0,200,STSS.tsv
3,378,585,2582,0.2153846153846154,189,189,0,0,250,STSS.tsv
3,440,636,3072,0.23060796645702306,220,220,0,0,300,STSS.tsv
3,516,701,3674,0.24536376604850213,258,258,0,0,350,STSS.tsv
3,550,739,4110,0.2480829950383401,275,275,0,0,400,STSS.tsv
3,642,809,4621,0.26452410383189123,304,306,32,0,450,STSS.tsv
3,688,869,5194,0.26390487149980824,318,325,45,0,500,STSS.tsv
3,717,930,5741,0.256989247311828,333,339,45,0,550,STSS.tsv
3,754,968,6244,0.2596418732782369,352,357,45,0,600,STSS.tsv
3,795,997,6618,0.2657973921765296,366,370,59,0,650,STSS.tsv
3,829,1037,7064,0.26647380263580844,379,382,68,0,700,STSS.tsv
3,869,1090,7576,0.26574923547400614,398,403,68,0,750,STSS.tsv
3,906,1118,8032,0.2701252236135957,417,421,68,0,800,STSS.tsv
3,948,1147,8450,0.27550130775937226,438,442,68,0,850,STSS.tsv
3,983,1184,9043,0.2767454954954955,456,459,68,0,900,STSS.tsv
3,1070,1203,9344,0.29648101967303964,472,475,123,0,950,STSS.tsv
3,1114,1226,9630,0.3028820010875476,482,484,148,0,1000,STSS.tsv
3,1158,1255,9925,0.3075697211155379,497,496,165,0,1050,STSS.tsv
3,1187,1309,10291,0.3022663610898905,511,509,167,0,1100,STSS.tsv
3,1217,1344,10774,0.30183531746031744,525,521,171,0,1150,STSS.tsv
3,1261,1380,11308,0.3045893719806763,546,543,172,0,1200,STSS.tsv
3,1290,1406,11692,0.3058321479374111,559,558,173,0,1250,STSS.tsv
3,1314,1452,12329,0.30165289256198347,569,571,174,0,1300,STSS.tsv
3,1341,1477,12776,0.3026404874746107,583,583,175,0,1350,STSS.tsv
3,1367,1500,13498,0.30377777777777776,595,596,176,0,1400,STSS.tsv
3,1395,1533,13964,0.30332681017612523,608,609,178,0,1450,STSS.tsv
3,1432,1560,14568,0.305982905982906,627,627,178,0,1500,STSS.tsv
3,1458,1583,14935,0.30701200252684774,640,640,178,0,1550,STSS.tsv
3,1480,1607,15286,0.3069902509852728,650,651,179,0,1600,STSS.tsv
3,1502,1641,15770,0.3050985171643307,661,661,180,0,1650,STSS.tsv
3,1535,1663,16241,0.3076768891561435,678,677,180,0,1700,STSS.tsv
3,1552,1696,16613,0.3050314465408805,685,687,180,0,1750,STSS.tsv
3,1573,1741,17122,0.30116791116216735,696,697,180,0,1800,STSS.tsv
3,1597,1763,17634,0.30194743807903196,708,709,180,0,1850,STSS.tsv
3,1620,1794,18150,0.3010033444816054,719,721,180,0,1900,STSS.tsv
3,1671,1840,18828,0.3027173913043478,744,746,181,0,1950,STSS.tsv
3,1695,1868,19186,0.3024625267665953,756,758,181,0,2000,STSS.tsv
3,1724,1896,19738,0.3030942334739803,770,773,181,0,2050,STSS.tsv
3,1758,1930,20384,0.30362694300518134,787,790,181,0,2100,STSS.tsv
3,1768,1953,20836,0.301757979177334,792,795,181,0,2150,STSS.tsv
3,1789,1973,21270,0.3022470011826322,803,805,181,0,2200,STSS.tsv
3,1820,1989,21700,0.30501089324618735,819,820,181,0,2250,STSS.tsv
3,1851,2025,22171,0.3046913580246914,834,836,181,0,2300,STSS.tsv
3,1879,2057,22661,0.30448873764381784,847,850,182,0,2350,STSS.tsv
3,1897,2079,23141,0.3041526374859708,855,859,183,0,2400,STSS.tsv
3,1916,2108,23651,0.3029728020240354,865,868,183,0,2450,STSS.tsv
3,1922,2112,23777,0.3033459595959596,868,871,183,0,2466,STSS.tsv
