speaker_number,vo_overlap,vo_total,total_token_number,overlap,s1_and_other,s2_and_other,s3_and_other,begin,end,file
3,93,181,471,0.1712707182320442,43,43,7,0,50,SXAZ.tsv
3,177,290,1013,0.20344827586206896,75,60,42,0,100,SXAZ.tsv
3,254,338,1317,0.2504930966469428,102,70,82,0,150,SXAZ.tsv
3,298,399,1692,0.24895572263993315,118,78,102,0,200,SXAZ.tsv
3,348,459,2103,0.25272331154684097,140,82,126,0,250,SXAZ.tsv
3,375,493,2401,0.2535496957403651,152,85,138,0,300,SXAZ.tsv
3,441,526,2707,0.279467680608365,177,102,162,0,350,SXAZ.tsv
3,494,563,3048,0.29248075784487865,191,124,179,0,400,SXAZ.tsv
3,506,613,3485,0.2751495377922784,197,127,182,0,450,SXAZ.tsv
3,531,648,3891,0.27314814814814814,208,128,195,0,500,SXAZ.tsv
3,567,677,4319,0.2791728212703102,224,129,214,0,550,SXAZ.tsv
3,596,718,4733,0.27669452181987003,237,130,229,0,600,SXAZ.tsv
3,628,739,5126,0.2832656743346865,252,131,245,0,650,SXAZ.tsv
3,654,776,5561,0.2809278350515464,263,135,256,0,700,SXAZ.tsv
3,692,821,6066,0.28095818107998377,281,136,275,0,750,SXAZ.tsv
3,718,836,6368,0.2862838915470494,293,137,288,0,800,SXAZ.tsv
3,746,875,6906,0.2841904761904762,307,139,300,0,850,SXAZ.tsv
3,765,903,7275,0.2823920265780731,315,140,310,0,900,SXAZ.tsv
3,788,921,7648,0.2851972493666305,324,142,322,0,950,SXAZ.tsv
3,798,935,7964,0.28449197860962566,328,143,327,0,1000,SXAZ.tsv
3,808,950,8261,0.28350877192982454,333,143,332,0,1050,SXAZ.tsv
3,822,965,8614,0.2839378238341969,340,143,339,0,1100,SXAZ.tsv
3,835,983,8901,0.28314682943370634,347,143,345,0,1150,SXAZ.tsv
3,845,1006,9189,0.2799867461895295,351,143,351,0,1200,SXAZ.tsv
3,856,1025,9529,0.2783739837398374,357,144,355,0,1250,SXAZ.tsv
3,858,1051,9863,0.2721217887725975,358,144,356,0,1300,SXAZ.tsv
3,865,1075,10144,0.2682170542635659,362,144,359,0,1350,SXAZ.tsv
3,865,1076,10161,0.26796778190830234,362,144,359,0,1355,SXAZ.tsv
