speaker_number,vo_overlap,vo_total,total_token_number,overlap,s1_and_other,s2_and_other,s3_and_other,begin,end,file
3,147,253,601,0.19367588932806323,59,47,41,0,50,SZP6.tsv
3,251,358,1057,0.23370577281191807,83,90,78,0,100,SZP6.tsv
3,335,468,1648,0.2386039886039886,110,132,93,0,150,SZP6.tsv
3,412,568,2520,0.24178403755868544,135,168,109,0,200,SZP6.tsv
3,478,626,2974,0.25452609158679446,142,194,142,0,250,SZP6.tsv
3,553,714,3678,0.2581699346405229,176,226,151,0,300,SZP6.tsv
3,648,784,4274,0.2755102040816326,188,262,198,0,350,SZP6.tsv
3,722,856,4942,0.2811526479750779,197,290,235,0,400,SZP6.tsv
3,787,927,5640,0.28299172959367136,208,317,262,0,450,SZP6.tsv
3,839,990,6459,0.2824915824915825,211,339,289,0,500,SZP6.tsv
3,900,1051,7315,0.285442435775452,228,360,312,0,550,SZP6.tsv
3,920,1097,7765,0.27955028866605897,239,368,313,0,600,SZP6.tsv
3,930,1118,8077,0.2772808586762075,242,373,315,0,627,SZP6.tsv
