speaker_number,vo_overlap,vo_total,total_token_number,overlap,s1_and_other,s2_and_other,s3_and_other,begin,end,file
3,69,129,353,0.17829457364341086,32,33,4,0,50,SZQ9.tsv
3,158,207,705,0.25442834138486314,67,67,24,0,100,SZQ9.tsv
3,200,246,942,0.27100271002710025,83,83,34,0,150,SZQ9.tsv
3,261,290,1245,0.3,106,104,51,0,200,SZQ9.tsv
3,326,336,1596,0.32341269841269843,137,133,56,0,250,SZQ9.tsv
3,378,359,1856,0.35097493036211697,153,151,74,0,300,SZQ9.tsv
3,401,381,2095,0.35083114610673666,162,162,77,0,350,SZQ9.tsv
3,428,416,2434,0.34294871794871795,173,171,84,0,400,SZQ9.tsv
3,466,441,2722,0.35222978080120937,187,185,94,0,450,SZQ9.tsv
3,496,464,3025,0.3563218390804598,200,200,96,0,500,SZQ9.tsv
3,532,502,3367,0.35325365205843295,211,209,112,0,550,SZQ9.tsv
3,548,533,3711,0.342714196372733,218,217,113,0,600,SZQ9.tsv
3,563,551,3964,0.34059286146400486,226,224,113,0,650,SZQ9.tsv
3,567,554,3979,0.34115523465703973,228,226,113,0,655,SZQ9.tsv
