speaker_number,vo_overlap,vo_total,total_token_number,overlap,s1_and_other,s2_and_other,s3_and_other,begin,end,file
3,58,181,427,0.10681399631675875,19,22,17,0,50,S985.tsv
3,109,251,781,0.14475431606905712,39,38,32,0,100,S985.tsv
3,170,326,1212,0.1738241308793456,65,60,45,0,150,S985.tsv
3,219,388,1516,0.18814432989690721,79,80,60,0,200,S985.tsv
3,282,453,1937,0.20750551876379691,103,99,80,0,250,S985.tsv
3,316,495,2303,0.2127946127946128,118,109,89,0,300,S985.tsv
3,364,563,2816,0.21551213735938426,136,125,103,0,350,S985.tsv
3,425,593,3179,0.2388982574480045,155,148,122,0,400,S985.tsv
3,472,617,3673,0.25499729875742844,175,168,129,0,450,S985.tsv
3,520,641,4041,0.2704108164326573,196,188,136,0,500,S985.tsv
3,550,673,4420,0.27241208519068844,207,197,146,0,550,S985.tsv
3,572,693,4750,0.2751322751322751,214,203,155,0,600,S985.tsv
3,619,728,5166,0.2834249084249084,223,219,177,0,650,S985.tsv
3,669,766,5536,0.29112271540469975,243,237,189,0,700,S985.tsv
3,698,805,5838,0.28902691511387163,254,246,198,0,750,S985.tsv
3,754,856,6331,0.29361370716510904,275,268,211,0,800,S985.tsv
3,798,890,6770,0.298876404494382,287,282,229,0,850,S985.tsv
3,822,907,7087,0.30209481808158767,297,294,231,0,900,S985.tsv
3,848,933,7470,0.30296534476598785,306,298,244,0,950,S985.tsv
3,866,952,7791,0.30322128851540614,310,305,251,0,1000,S985.tsv
3,908,983,8235,0.307900983384198,322,312,274,0,1050,S985.tsv
3,943,1018,8803,0.30877537655533727,333,321,289,0,1100,S985.tsv
3,977,1045,9409,0.3116427432216906,342,331,304,0,1150,S985.tsv
3,999,1064,9813,0.31296992481203006,348,336,315,0,1200,S985.tsv
3,1023,1080,10172,0.31574074074074077,357,346,320,0,1250,S985.tsv
3,1058,1100,10604,0.3206060606060606,367,356,335,0,1300,S985.tsv
3,1071,1112,10908,0.3210431654676259,369,360,342,0,1350,S985.tsv
3,1105,1136,11384,0.32423708920187794,383,365,357,0,1400,S985.tsv
3,1117,1149,11695,0.3240498984624311,387,371,359,0,1450,S985.tsv
3,1135,1177,12059,0.32143868592466723,395,375,365,0,1500,S985.tsv
3,1160,1197,12401,0.3230297967140072,404,384,372,0,1550,S985.tsv
3,1174,1209,12660,0.32368348497380756,408,389,377,0,1600,S985.tsv
3,1198,1225,12957,0.32598639455782313,414,397,387,0,1650,S985.tsv
3,1215,1245,13283,0.3253012048192771,420,405,390,0,1700,S985.tsv
3,1243,1271,13662,0.3259900340938893,427,412,404,0,1750,S985.tsv
3,1264,1303,14055,0.32335635712458427,436,417,411,0,1800,S985.tsv
3,1283,1319,14399,0.3242355319686631,439,426,418,0,1850,S985.tsv
3,1303,1327,14723,0.3273046973122331,449,431,423,0,1900,S985.tsv
3,1337,1363,15345,0.32697481046710686,460,440,437,0,1950,S985.tsv
3,1338,1364,15403,0.32697947214076245,461,440,437,0,1963,S985.tsv
