speaker_number,vo_overlap,vo_total,total_token_number,overlap,s1_and_other,s2_and_other,s3_and_other,begin,end,file
3,26,142,255,0.06103286384976526,9,6,11,0,50,SPTA.tsv
3,69,206,580,0.11165048543689321,27,15,27,0,100,SPTA.tsv
3,118,284,926,0.13849765258215962,43,30,45,0,150,SPTA.tsv
3,154,361,1276,0.14219759926131118,55,41,58,0,200,SPTA.tsv
3,179,393,1527,0.15182357930449533,63,45,71,0,250,SPTA.tsv
3,218,457,1909,0.15900802334062727,75,60,83,0,300,SPTA.tsv
3,260,498,2245,0.17402945113788487,86,77,97,0,350,SPTA.tsv
3,304,536,2563,0.1890547263681592,100,91,113,0,400,SPTA.tsv
3,332,585,2852,0.1891737891737892,115,98,119,0,450,SPTA.tsv
3,369,634,3231,0.19400630914826497,130,113,126,0,500,SPTA.tsv
3,410,678,3594,0.2015732546705998,143,127,140,0,550,SPTA.tsv
3,441,707,3942,0.2079207920792079,151,141,149,0,600,SPTA.tsv
3,473,741,4281,0.21277552856500226,161,154,158,0,650,SPTA.tsv
3,496,795,4680,0.2079664570230608,165,164,167,0,700,SPTA.tsv
3,560,849,5229,0.2198665096191598,178,194,188,0,750,SPTA.tsv
3,598,886,5571,0.22498118886380739,190,207,201,0,800,SPTA.tsv
3,630,920,5957,0.22826086956521738,197,223,210,0,850,SPTA.tsv
3,659,950,6261,0.2312280701754386,208,235,216,0,900,SPTA.tsv
3,682,971,6588,0.23412289735667696,219,244,219,0,950,SPTA.tsv
3,737,1004,7066,0.2446879150066401,236,260,241,0,1000,SPTA.tsv
3,764,1044,7423,0.24393358876117496,246,267,251,0,1050,SPTA.tsv
3,795,1078,7798,0.24582560296846012,256,275,264,0,1100,SPTA.tsv
3,826,1114,8216,0.2471573907839617,268,286,272,0,1150,SPTA.tsv
3,867,1151,8603,0.2510860121633362,287,304,276,0,1200,SPTA.tsv
3,885,1169,8850,0.2523524379811805,297,312,276,0,1239,SPTA.tsv
