speaker_number,vo_overlap,vo_total,total_token_number,overlap,s1_and_other,s2_and_other,s3_and_other,begin,end,file
3,90,114,253,0.2631578947368421,35,24,31,0,50,S83A.tsv
3,137,171,410,0.26705653021442494,54,48,35,50,100,S83A.tsv
3,97,153,408,0.2113289760348584,40,31,26,100,150,S83A.tsv
3,77,127,287,0.2020997375328084,32,16,29,150,200,S83A.tsv
3,91,118,319,0.2570621468926554,35,22,34,200,250,S83A.tsv
3,129,124,351,0.3467741935483871,55,49,25,250,300,S83A.tsv
3,81,129,251,0.20930232558139536,34,26,21,300,350,S83A.tsv
3,104,146,402,0.2374429223744292,40,30,34,350,400,S83A.tsv
3,88,166,389,0.17670682730923695,35,27,26,400,450,S83A.tsv
3,6,52,69,0.038461538461538464,3,2,1,450,460,S83A.tsv
