speaker_number,vo_overlap,vo_total,total_token_number,overlap,s1_and_other,s2_and_other,s3_and_other,begin,end,file
3,111,141,331,0.2624113475177305,36,33,42,0,50,SHJE.tsv
3,90,129,279,0.23255813953488372,35,29,26,50,100,SHJE.tsv
3,128,147,367,0.29024943310657597,51,40,37,100,150,SHJE.tsv
3,87,163,307,0.17791411042944785,30,27,30,150,200,SHJE.tsv
3,112,147,301,0.25396825396825395,45,30,37,200,250,SHJE.tsv
3,138,196,477,0.23469387755102042,55,46,37,250,300,SHJE.tsv
3,104,152,296,0.22807017543859648,35,30,39,300,350,SHJE.tsv
3,90,144,294,0.20833333333333334,35,32,23,350,400,SHJE.tsv
3,79,144,309,0.18287037037037038,31,31,17,400,450,SHJE.tsv
3,100,144,305,0.23148148148148148,32,39,29,450,500,SHJE.tsv
3,107,145,347,0.24597701149425288,38,38,31,500,550,SHJE.tsv
3,115,141,323,0.2718676122931442,40,44,31,550,600,SHJE.tsv
3,96,127,302,0.25196850393700787,38,30,28,600,650,SHJE.tsv
3,149,190,445,0.2614035087719298,61,56,32,650,700,SHJE.tsv
3,136,156,379,0.2905982905982906,49,48,39,700,750,SHJE.tsv
3,111,186,472,0.1989247311827957,42,44,25,750,800,SHJE.tsv
3,101,146,362,0.23059360730593606,40,28,33,800,850,SHJE.tsv
3,138,183,417,0.25136612021857924,56,58,24,850,900,SHJE.tsv
3,140,165,395,0.2828282828282828,51,51,38,900,950,SHJE.tsv
3,92,166,276,0.18473895582329317,38,33,21,950,1000,SHJE.tsv
3,126,180,408,0.23333333333333334,47,48,31,1000,1050,SHJE.tsv
3,95,141,311,0.22458628841607564,30,38,27,1050,1100,SHJE.tsv
3,82,153,300,0.1786492374727669,32,27,23,1100,1150,SHJE.tsv
3,104,156,384,0.2222222222222222,48,13,43,1150,1200,SHJE.tsv
3,136,158,360,0.2869198312236287,55,29,52,1200,1250,SHJE.tsv
3,130,144,336,0.30092592592592593,48,38,44,1250,1300,SHJE.tsv
3,19,75,110,0.08444444444444445,5,5,9,1300,1318,SHJE.tsv
