speaker_number,vo_overlap,vo_total,total_token_number,overlap,s1_and_other,s2_and_other,s3_and_other,begin,end,file
3,141,163,439,0.2883435582822086,53,52,36,0,50,SNAC.tsv
3,102,172,481,0.19767441860465115,22,43,37,50,100,SNAC.tsv
3,144,177,468,0.2711864406779661,49,52,43,100,150,SNAC.tsv
3,99,138,307,0.2391304347826087,35,33,31,150,200,SNAC.tsv
3,127,156,373,0.27136752136752135,38,48,41,200,250,SNAC.tsv
3,103,160,403,0.21458333333333332,41,22,40,250,300,SNAC.tsv
3,151,213,634,0.23630672926447574,59,57,35,300,350,SNAC.tsv
3,126,168,410,0.25,44,39,43,350,400,SNAC.tsv
3,99,207,616,0.15942028985507245,39,45,15,400,450,SNAC.tsv
3,138,211,537,0.21800947867298578,48,54,36,450,500,SNAC.tsv
3,89,141,313,0.21040189125295508,34,23,32,500,550,SNAC.tsv
3,83,140,298,0.1976190476190476,28,24,31,550,600,SNAC.tsv
3,97,136,304,0.23774509803921567,24,36,37,600,650,SNAC.tsv
3,110,172,411,0.2131782945736434,36,47,27,650,700,SNAC.tsv
3,108,227,636,0.15859030837004406,20,49,39,700,750,SNAC.tsv
3,106,159,404,0.2222222222222222,32,37,37,750,800,SNAC.tsv
3,68,198,497,0.11447811447811448,7,30,31,800,837,SNAC.tsv
