speaker_number,vo_overlap,vo_total,total_token_number,overlap,s1_and_other,s2_and_other,s3_and_other,begin,end,file
3,127,185,562,0.22882882882882882,53,18,56,0,50,SP2X.tsv
3,140,179,459,0.260707635009311,55,30,55,50,100,SP2X.tsv
3,149,200,532,0.24833333333333332,54,53,42,100,150,SP2X.tsv
3,124,183,501,0.22586520947176686,50,45,29,150,200,SP2X.tsv
3,129,188,548,0.22872340425531915,54,49,26,200,250,SP2X.tsv
3,120,168,406,0.23809523809523808,44,37,39,250,300,SP2X.tsv
3,109,139,327,0.26139088729016785,38,41,30,300,350,SP2X.tsv
3,144,161,429,0.2981366459627329,55,36,53,350,400,SP2X.tsv
3,133,157,400,0.2823779193205945,50,42,41,400,450,SP2X.tsv
3,151,166,460,0.3032128514056225,53,57,41,450,500,SP2X.tsv
3,98,145,336,0.22528735632183908,42,21,35,500,550,SP2X.tsv
3,151,187,493,0.26916221033868093,57,49,45,550,600,SP2X.tsv
3,130,160,393,0.2708333333333333,48,44,38,600,650,SP2X.tsv
3,130,145,372,0.2988505747126437,42,44,44,650,700,SP2X.tsv
3,115,140,370,0.27380952380952384,39,38,38,700,750,SP2X.tsv
3,133,180,425,0.2462962962962963,48,46,39,750,800,SP2X.tsv
3,151,206,529,0.24433656957928804,62,49,40,800,850,SP2X.tsv
3,125,148,377,0.28153153153153154,50,31,44,850,900,SP2X.tsv
3,119,178,438,0.22284644194756553,46,44,29,900,950,SP2X.tsv
3,144,168,456,0.2857142857142857,47,50,47,950,1000,SP2X.tsv
3,122,176,440,0.23106060606060605,41,40,41,1000,1050,SP2X.tsv
3,109,133,340,0.2731829573934837,43,36,30,1050,1100,SP2X.tsv
3,127,172,439,0.24612403100775193,50,33,44,1100,1150,SP2X.tsv
3,136,152,382,0.2982456140350877,50,45,41,1150,1200,SP2X.tsv
3,129,156,442,0.27564102564102566,49,40,40,1200,1250,SP2X.tsv
3,118,167,524,0.23552894211576847,48,48,22,1250,1300,SP2X.tsv
3,129,199,562,0.21608040201005024,50,45,34,1300,1350,SP2X.tsv
3,117,150,446,0.26,42,32,43,1350,1400,SP2X.tsv
3,159,191,571,0.2774869109947644,57,58,44,1400,1450,SP2X.tsv
3,154,170,557,0.30196078431372547,55,53,46,1450,1500,SP2X.tsv
3,139,190,588,0.24385964912280703,43,57,39,1500,1550,SP2X.tsv
3,139,234,638,0.198005698005698,55,56,28,1550,1600,SP2X.tsv
3,117,202,520,0.19306930693069307,50,50,17,1600,1650,SP2X.tsv
3,161,209,617,0.2567783094098884,62,52,47,1650,1700,SP2X.tsv
3,129,159,434,0.27044025157232704,46,46,37,1700,1750,SP2X.tsv
3,118,179,509,0.21973929236499068,46,29,43,1750,1800,SP2X.tsv
3,132,148,547,0.2972972972972973,47,41,44,1800,1850,SP2X.tsv
3,162,192,571,0.28125,66,50,46,1850,1900,SP2X.tsv
3,149,200,554,0.24833333333333332,57,48,44,1900,1950,SP2X.tsv
3,134,190,565,0.23508771929824562,56,54,24,1950,2000,SP2X.tsv
3,120,204,528,0.19607843137254902,53,23,44,2000,2050,SP2X.tsv
3,108,166,371,0.21686746987951808,43,25,40,2050,2089,SP2X.tsv
