speaker_number,vo_overlap,vo_total,total_token_number,overlap,s1_and_other,s2_and_other,s3_and_other,begin,end,file
3,86,131,377,0.21882951653944022,33,32,21,0,50,STG7.tsv
3,105,214,569,0.16355140186915887,48,8,49,50,100,STG7.tsv
3,92,177,492,0.17325800376647835,46,0,46,100,150,STG7.tsv
3,94,212,643,0.14779874213836477,47,0,47,150,200,STG7.tsv
3,96,198,558,0.16161616161616163,48,0,48,200,250,STG7.tsv
3,138,243,863,0.18930041152263374,69,0,69,250,300,STG7.tsv
3,118,184,566,0.213768115942029,59,0,59,300,350,STG7.tsv
3,80,176,524,0.15151515151515152,40,0,40,350,400,STG7.tsv
3,56,134,352,0.13930348258706468,28,0,28,400,450,STG7.tsv
3,80,154,378,0.17316017316017315,40,0,40,450,500,STG7.tsv
3,64,156,359,0.13675213675213677,32,0,32,500,550,STG7.tsv
3,81,150,372,0.18,40,4,37,550,600,STG7.tsv
3,76,162,397,0.15637860082304528,38,0,38,600,650,STG7.tsv
3,0,4,4,0.0,0,0,0,650,652,STG7.tsv
