speaker_number,vo_overlap,vo_total,total_token_number,overlap,s1_and_other,s2_and_other,s3_and_other,s4_and_other,begin,end,file
4,107,137,347,0.19525547445255476,39,35,33,0,0,50,SUVS.tsv
4,194,207,701,0.23429951690821257,72,56,66,0,0,100,SUVS.tsv
4,257,252,1039,0.25496031746031744,95,69,93,0,0,150,SUVS.tsv
4,311,289,1423,0.2690311418685121,116,81,114,0,0,200,SUVS.tsv
4,355,337,1789,0.263353115727003,131,95,129,0,0,250,SUVS.tsv
4,422,403,2256,0.2617866004962779,149,120,153,0,0,300,SUVS.tsv
4,488,457,2662,0.26695842450765866,169,145,174,0,0,350,SUVS.tsv
4,538,496,3020,0.2711693548387097,192,155,191,0,0,400,SUVS.tsv
4,572,539,3456,0.2653061224489796,207,161,204,0,0,450,SUVS.tsv
4,642,570,3716,0.28157894736842104,218,179,209,36,0,500,SUVS.tsv
4,703,605,4058,0.29049586776859504,228,187,222,66,0,550,SUVS.tsv
4,800,672,4637,0.2976190476190476,242,198,256,104,0,600,SUVS.tsv
4,917,744,5899,0.3081317204301075,267,212,301,137,0,650,SUVS.tsv
4,999,794,6566,0.31454659949622166,286,219,325,169,0,700,SUVS.tsv
4,1061,826,7337,0.32112590799031476,293,232,344,192,0,750,SUVS.tsv
4,1112,860,7883,0.32325581395348835,301,243,359,209,0,800,SUVS.tsv
4,1157,881,8367,0.3283200908059024,310,256,371,220,0,850,SUVS.tsv
4,1206,915,8804,0.3295081967213115,325,270,386,225,0,900,SUVS.tsv
4,1266,983,9574,0.3219735503560529,334,295,407,230,0,950,SUVS.tsv
4,1337,1062,10735,0.3147363465160075,343,312,439,243,0,1000,SUVS.tsv
4,1395,1111,11735,0.3139063906390639,346,325,459,265,0,1050,SUVS.tsv
4,1437,1158,12199,0.31023316062176165,349,337,471,280,0,1100,SUVS.tsv
4,1461,1168,12534,0.3127140410958904,357,339,479,286,0,1150,SUVS.tsv
4,1504,1195,13183,0.31464435146443515,366,341,491,306,0,1200,SUVS.tsv
4,1557,1217,13600,0.31984387838948236,373,341,509,334,0,1250,SUVS.tsv
4,1592,1235,13978,0.32226720647773277,378,342,518,354,0,1300,SUVS.tsv
4,1633,1263,14434,0.3232383214568488,381,343,532,377,0,1350,SUVS.tsv
4,1682,1287,14850,0.32672882672882675,390,344,549,399,0,1400,SUVS.tsv
4,1733,1331,15733,0.32550713749060856,396,344,567,426,0,1450,SUVS.tsv
4,1759,1363,16080,0.3226338958180484,403,345,573,438,0,1500,SUVS.tsv
4,1793,1385,16443,0.3236462093862816,406,347,588,452,0,1541,SUVS.tsv
