speaker_number,vo_overlap,vo_total,total_token_number,overlap,s1_and_other,s2_and_other,s3_and_other,s4_and_other,begin,end,file
4,220,274,814,0.20072992700729927,62,79,74,5,0,50,SV49.tsv
4,330,407,1500,0.20270270270270271,102,120,101,7,0,100,SV49.tsv
4,455,536,2251,0.21222014925373134,158,152,131,14,0,150,SV49.tsv
4,634,667,3147,0.2376311844077961,187,202,204,41,0,200,SV49.tsv
4,738,766,3888,0.24086161879895562,216,234,243,45,0,250,SV49.tsv
4,823,839,4484,0.24523241954707986,241,262,273,47,0,300,SV49.tsv
4,889,925,5107,0.24027027027027026,261,285,293,50,0,350,SV49.tsv
4,992,994,5830,0.24949698189134809,287,306,322,77,0,400,SV49.tsv
4,1084,1041,6407,0.26032660902977905,307,324,347,106,0,450,SV49.tsv
4,1148,1103,7119,0.2601994560290118,335,339,366,108,0,500,SV49.tsv
4,1213,1165,7824,0.2603004291845494,347,351,390,125,0,550,SV49.tsv
4,1291,1214,8325,0.26585667215815484,360,378,411,142,0,600,SV49.tsv
4,1378,1268,8950,0.27168769716088326,384,396,439,159,0,650,SV49.tsv
4,1426,1331,9545,0.2678437265214125,404,410,452,160,0,700,SV49.tsv
4,1478,1376,10150,0.26853197674418605,414,432,468,164,0,750,SV49.tsv
4,1545,1424,10786,0.2712429775280899,435,453,486,171,0,800,SV49.tsv
4,1586,1458,11301,0.2719478737997256,446,465,502,173,0,850,SV49.tsv
4,1657,1507,11996,0.2748838752488387,469,485,522,181,0,900,SV49.tsv
4,1735,1581,12893,0.2743516761543327,509,505,539,182,0,950,SV49.tsv
4,1783,1625,13475,0.2743076923076923,528,517,556,182,0,1000,SV49.tsv
4,1827,1671,14064,0.27333931777378817,539,531,574,183,0,1049,SV49.tsv
