speaker_number,vo_overlap,vo_total,total_token_number,overlap,s1_and_other,s2_and_other,s3_and_other,s4_and_other,begin,end,file
4,112,112,269,0.25,24,35,28,25,0,50,SW5B.tsv
4,207,199,564,0.2600502512562814,45,66,64,32,0,100,SW5B.tsv
4,297,287,967,0.2587108013937282,75,97,89,36,0,150,SW5B.tsv
4,363,352,1358,0.2578125,86,121,119,37,0,200,SW5B.tsv
4,428,412,1747,0.25970873786407767,100,146,144,38,0,250,SW5B.tsv
4,456,464,2085,0.24568965517241378,102,157,158,39,0,300,SW5B.tsv
4,501,517,2519,0.24226305609284332,105,177,179,40,0,350,SW5B.tsv
4,532,540,2712,0.2462962962962963,112,186,193,41,0,400,SW5B.tsv
4,580,585,3038,0.24786324786324787,117,204,217,42,0,450,SW5B.tsv
4,648,646,3551,0.25077399380804954,135,228,242,43,0,500,SW5B.tsv
4,701,698,4065,0.25107449856733527,142,254,262,43,0,550,SW5B.tsv
4,746,724,4401,0.2575966850828729,161,266,276,43,0,600,SW5B.tsv
4,772,756,4769,0.2552910052910053,163,278,288,43,0,650,SW5B.tsv
4,798,780,5049,0.25576923076923075,172,286,297,43,0,700,SW5B.tsv
4,841,843,5467,0.24940688018979834,179,301,318,43,0,750,SW5B.tsv
4,878,880,5826,0.24943181818181817,192,312,331,43,0,800,SW5B.tsv
4,913,911,6228,0.2505488474204171,206,323,341,43,0,850,SW5B.tsv
4,942,937,6660,0.2513340448239061,208,337,354,43,0,900,SW5B.tsv
4,999,970,7011,0.2574742268041237,217,356,371,55,0,950,SW5B.tsv
4,1045,992,7293,0.2633568548387097,220,364,375,86,0,1000,SW5B.tsv
4,1095,1011,7561,0.2707715133531157,232,376,383,104,0,1050,SW5B.tsv
4,1147,1030,7812,0.2783980582524272,236,387,391,133,0,1100,SW5B.tsv
4,1244,1066,8307,0.29174484052532834,237,410,406,191,0,1150,SW5B.tsv
4,1307,1086,8767,0.3008747697974217,238,421,414,234,0,1200,SW5B.tsv
4,1357,1105,9274,0.3070135746606335,238,436,420,263,0,1250,SW5B.tsv
4,1393,1129,9688,0.30845881310894596,238,446,425,284,0,1300,SW5B.tsv
4,1439,1154,10244,0.31174176776429807,238,459,427,315,0,1350,SW5B.tsv
4,1491,1187,10658,0.31402695871946085,238,478,432,343,0,1400,SW5B.tsv
4,1529,1213,11018,0.3151277823577906,239,491,436,363,0,1445,SW5B.tsv
