speaker_number,vo_overlap,vo_total,total_token_number,overlap,s1_and_other,s2_and_other,s3_and_other,s4_and_other,begin,end,file
4,46,145,309,0.07931034482758621,13,6,12,15,0,50,S35U.tsv
4,77,247,673,0.07793522267206478,25,10,16,26,0,100,S35U.tsv
4,136,325,1071,0.10461538461538461,41,12,38,45,0,150,S35U.tsv
4,181,380,1382,0.11907894736842105,48,23,50,60,0,200,S35U.tsv
4,237,436,1702,0.13589449541284404,67,32,57,81,0,250,S35U.tsv
4,272,483,2015,0.14078674948240166,83,39,62,88,0,300,S35U.tsv
4,318,525,2339,0.15142857142857144,103,53,63,99,0,350,S35U.tsv
4,346,561,2596,0.15418894830659535,110,57,75,104,0,400,S35U.tsv
4,390,607,2889,0.16062602965403625,114,63,99,114,0,450,S35U.tsv
4,432,630,3155,0.17142857142857143,117,77,118,120,0,500,S35U.tsv
4,460,670,3498,0.17164179104477612,121,79,130,130,0,550,S35U.tsv
4,500,714,3893,0.17507002801120447,124,83,151,142,0,600,S35U.tsv
4,517,756,4219,0.17096560846560846,125,83,158,151,0,650,S35U.tsv
4,548,779,4470,0.17586649550706032,133,90,168,157,0,700,S35U.tsv
4,598,816,4876,0.18321078431372548,144,95,181,178,0,750,S35U.tsv
4,628,854,5263,0.18384074941451992,146,95,195,192,0,800,S35U.tsv
4,669,878,5589,0.1904897494305239,149,96,214,210,0,850,S35U.tsv
4,691,897,5910,0.19258639910813824,156,97,224,214,0,900,S35U.tsv
4,720,918,6253,0.19607843137254902,158,107,234,221,0,950,S35U.tsv
4,740,940,6516,0.19680851063829788,163,110,239,228,0,1000,S35U.tsv
4,778,966,6761,0.2013457556935818,166,127,250,235,0,1050,S35U.tsv
4,832,986,7156,0.21095334685598377,173,158,256,245,0,1100,S35U.tsv
4,856,1014,7421,0.21104536489151873,178,162,262,254,0,1150,S35U.tsv
4,892,1040,7729,0.2144230769230769,179,178,268,267,0,1200,S35U.tsv
4,940,1063,8122,0.22107243650047037,198,181,281,280,0,1250,S35U.tsv
4,965,1085,8398,0.22235023041474655,215,181,283,286,0,1300,S35U.tsv
4,985,1107,8745,0.22244805781391147,224,181,286,294,0,1350,S35U.tsv
4,1011,1129,8988,0.22387068201948626,232,185,296,298,0,1400,S35U.tsv
4,1023,1149,9228,0.22258485639686684,235,188,300,300,0,1450,S35U.tsv
4,1050,1162,9514,0.22590361445783133,243,191,309,307,0,1500,S35U.tsv
4,1066,1175,9801,0.22680851063829788,244,195,314,313,0,1550,S35U.tsv
4,1110,1209,10216,0.22952853598014888,247,200,332,331,0,1600,S35U.tsv
4,1130,1232,10486,0.22930194805194806,249,204,339,338,0,1650,S35U.tsv
4,1166,1254,10842,0.2324561403508772,252,208,353,353,0,1700,S35U.tsv
4,1186,1276,11286,0.2323667711598746,254,208,361,363,0,1750,S35U.tsv
4,1204,1301,11661,0.23136049192928518,256,209,371,368,0,1800,S35U.tsv
4,1236,1322,12037,0.23373676248108927,256,215,382,383,0,1850,S35U.tsv
4,1266,1340,12363,0.23619402985074628,256,231,388,391,0,1900,S35U.tsv
4,1303,1356,12637,0.24022861356932154,259,247,399,398,0,1950,S35U.tsv
4,1316,1374,12915,0.23944687045123728,259,248,406,403,0,2000,S35U.tsv
4,1347,1403,13431,0.24002138275124732,262,253,422,410,0,2050,S35U.tsv
4,1370,1420,13754,0.24119718309859156,264,261,429,416,0,2100,S35U.tsv
4,1388,1445,14077,0.24013840830449826,265,261,437,425,0,2150,S35U.tsv
4,1410,1466,14430,0.24045020463847203,265,263,447,435,0,2200,S35U.tsv
4,1432,1481,14814,0.24172856178257934,266,268,455,443,0,2250,S35U.tsv
4,1452,1498,15114,0.24232309746328437,267,278,462,445,0,2300,S35U.tsv
4,1456,1501,15146,0.24250499666888742,267,278,464,447,0,2305,S35U.tsv
