speaker_number,vo_overlap,vo_total,total_token_number,overlap,s1_and_other,s2_and_other,s3_and_other,s4_and_other,begin,end,file
4,38,167,420,0.05688622754491018,19,19,0,0,0,50,SJ7N.tsv
4,89,240,740,0.09270833333333334,39,35,15,0,0,100,SJ7N.tsv
4,135,367,1329,0.09196185286103542,57,51,27,0,0,150,SJ7N.tsv
4,204,451,1957,0.1130820399113082,86,79,39,0,0,200,SJ7N.tsv
4,248,520,2540,0.11923076923076924,106,100,42,0,0,250,SJ7N.tsv
4,294,557,2948,0.1319569120287253,128,120,46,0,0,300,SJ7N.tsv
4,329,597,3383,0.13777219430485763,143,133,53,0,0,350,SJ7N.tsv
4,388,681,4320,0.14243759177679882,171,163,54,0,0,400,SJ7N.tsv
4,415,732,4927,0.14173497267759563,184,177,54,0,0,450,SJ7N.tsv
4,472,829,5997,0.14234016887816647,205,192,75,0,0,500,SJ7N.tsv
4,509,870,6381,0.14626436781609195,221,207,81,0,0,550,SJ7N.tsv
4,536,918,6718,0.14596949891067537,233,218,85,0,0,600,SJ7N.tsv
4,576,961,7022,0.14984391259105098,248,231,97,0,0,650,SJ7N.tsv
4,645,999,7515,0.1614114114114114,265,244,105,31,0,700,SJ7N.tsv
4,697,1046,8082,0.1665869980879541,283,266,114,34,0,750,SJ7N.tsv
4,699,1050,8116,0.16642857142857143,284,266,115,34,0,754,SJ7N.tsv
