speaker_number,vo_overlap,vo_total,total_token_number,overlap,s1_and_other,s2_and_other,s3_and_other,s4_and_other,begin,end,file
4,34,183,433,0.04644808743169399,12,13,4,5,0,50,SJNJ.tsv
4,103,305,1019,0.08442622950819673,24,38,21,20,0,100,SJNJ.tsv
4,149,436,1768,0.08543577981651376,35,55,36,23,0,150,SJNJ.tsv
4,192,469,2067,0.1023454157782516,47,72,47,26,0,200,SJNJ.tsv
4,237,508,2406,0.11663385826771654,61,85,50,41,0,250,SJNJ.tsv
4,275,541,2747,0.12707948243992606,76,95,50,54,0,300,SJNJ.tsv
4,322,615,3292,0.13089430894308943,90,110,51,71,0,350,SJNJ.tsv
4,369,674,3694,0.1368694362017804,99,125,51,94,0,400,SJNJ.tsv
4,414,722,4093,0.1433518005540166,110,144,53,107,0,450,SJNJ.tsv
4,444,778,4579,0.14267352185089974,120,153,54,117,0,500,SJNJ.tsv
4,477,826,4955,0.14437046004842616,129,168,55,125,0,550,SJNJ.tsv
4,498,890,5379,0.1398876404494382,135,177,55,131,0,600,SJNJ.tsv
4,547,937,5789,0.1459445037353255,149,195,57,146,0,650,SJNJ.tsv
4,588,1004,6261,0.14641434262948208,156,209,61,162,0,700,SJNJ.tsv
4,619,1064,6797,0.14544172932330826,159,222,62,176,0,750,SJNJ.tsv
4,647,1109,7232,0.1458521190261497,162,233,69,183,0,800,SJNJ.tsv
4,695,1141,7634,0.15227870289219983,170,251,75,199,0,850,SJNJ.tsv
4,723,1183,8202,0.15278951817413355,177,263,76,207,0,900,SJNJ.tsv
4,746,1214,8590,0.15362438220757826,178,273,80,215,0,950,SJNJ.tsv
4,788,1278,9242,0.1541471048513302,180,291,80,237,0,1000,SJNJ.tsv
4,816,1315,9724,0.15513307984790875,181,301,85,249,0,1050,SJNJ.tsv
4,846,1362,10190,0.15528634361233482,181,315,86,264,0,1100,SJNJ.tsv
4,883,1383,10572,0.15961677512653652,183,328,92,280,0,1150,SJNJ.tsv
4,923,1423,11107,0.16215741391426564,188,346,93,296,0,1200,SJNJ.tsv
4,943,1455,11479,0.16202749140893472,189,356,93,305,0,1250,SJNJ.tsv
4,979,1479,11946,0.16548343475321162,214,363,93,309,0,1300,SJNJ.tsv
4,1022,1499,12340,0.1704469646430954,230,376,93,323,0,1350,SJNJ.tsv
4,1045,1524,12780,0.1714238845144357,239,382,94,330,0,1400,SJNJ.tsv
4,1063,1551,13144,0.1713410702772405,243,390,94,336,0,1450,SJNJ.tsv
4,1093,1589,13597,0.17196349905601008,247,404,94,348,0,1500,SJNJ.tsv
4,1114,1626,14085,0.17127921279212793,253,414,94,353,0,1550,SJNJ.tsv
4,1117,1628,14124,0.17152948402948404,255,414,94,354,0,1558,SJNJ.tsv
