speaker_number,vo_overlap,vo_total,total_token_number,overlap,s1_and_other,s2_and_other,s3_and_other,s4_and_other,begin,end,file
4,28,149,412,0.04697986577181208,14,14,0,0,0,50,SM6J.tsv
4,78,234,818,0.08333333333333333,28,33,17,0,0,100,SM6J.tsv
4,135,315,1219,0.10714285714285714,35,53,47,0,0,150,SM6J.tsv
4,176,370,1508,0.11891891891891893,40,65,64,7,0,200,SM6J.tsv
4,238,456,1962,0.13048245614035087,47,83,79,29,0,250,SM6J.tsv
4,285,510,2353,0.13970588235294118,53,89,99,44,0,300,SM6J.tsv
4,310,544,2627,0.14246323529411764,55,90,107,58,0,350,SM6J.tsv
4,352,585,3037,0.15042735042735042,57,96,123,76,0,400,SM6J.tsv
4,389,615,3336,0.15813008130081302,64,108,127,90,0,450,SM6J.tsv
4,431,650,3700,0.16576923076923078,74,112,138,107,0,500,SM6J.tsv
4,454,671,3962,0.169150521609538,80,119,144,111,0,550,SM6J.tsv
4,475,690,4239,0.1721014492753623,82,125,147,121,0,600,SM6J.tsv
4,486,706,4349,0.17209631728045327,84,129,149,124,0,617,SM6J.tsv
