speaker_number,vo_overlap,vo_total,total_token_number,overlap,s1_and_other,s2_and_other,s3_and_other,s4_and_other,begin,end,file
4,45,171,353,0.06578947368421052,11,17,15,2,0,50,SVBB.tsv
4,88,236,575,0.09322033898305085,28,29,28,3,0,100,SVBB.tsv
4,132,321,926,0.102803738317757,47,36,45,4,0,150,SVBB.tsv
4,195,380,1231,0.12828947368421054,71,46,70,8,0,200,SVBB.tsv
4,234,436,1503,0.1341743119266055,81,56,85,12,0,250,SVBB.tsv
4,259,484,1714,0.1337809917355372,89,60,95,15,0,300,SVBB.tsv
4,284,534,2010,0.13295880149812733,96,66,103,19,0,350,SVBB.tsv
4,306,565,2272,0.13539823008849558,106,72,109,19,0,400,SVBB.tsv
4,353,608,2551,0.14514802631578946,116,76,120,41,0,450,SVBB.tsv
4,392,641,2778,0.15288611544461778,128,81,131,52,0,500,SVBB.tsv
4,426,679,3086,0.1568483063328424,137,83,144,62,0,550,SVBB.tsv
4,470,714,3399,0.1645658263305322,146,86,158,80,0,600,SVBB.tsv
4,518,737,3723,0.1757123473541384,162,105,167,84,0,650,SVBB.tsv
4,551,755,4022,0.1824503311258278,173,112,182,84,0,700,SVBB.tsv
4,611,807,4412,0.1892812887236679,184,116,201,110,0,750,SVBB.tsv
4,649,875,4821,0.18542857142857141,190,117,211,131,0,800,SVBB.tsv
4,684,919,5183,0.18607181719260066,193,118,227,146,0,850,SVBB.tsv
4,721,960,5600,0.18776041666666668,196,118,240,167,0,900,SVBB.tsv
4,754,988,5915,0.19078947368421054,201,121,254,178,0,950,SVBB.tsv
4,782,1017,6233,0.19223205506391347,207,124,268,183,0,1000,SVBB.tsv
4,812,1050,6594,0.19333333333333333,217,129,281,185,0,1050,SVBB.tsv
4,860,1078,6903,0.19944341372912802,234,143,296,187,0,1100,SVBB.tsv
4,892,1115,7176,0.2,247,145,307,193,0,1150,SVBB.tsv
4,929,1146,7452,0.20266143106457243,256,146,319,208,0,1200,SVBB.tsv
4,962,1174,7787,0.20485519591141396,265,146,327,224,0,1250,SVBB.tsv
4,992,1220,8133,0.20327868852459016,271,146,338,237,0,1300,SVBB.tsv
4,1018,1240,8434,0.20524193548387096,277,146,350,245,0,1350,SVBB.tsv
4,1051,1266,8703,0.2075434439178515,287,149,364,251,0,1400,SVBB.tsv
4,1075,1296,8976,0.20736882716049382,295,149,373,258,0,1450,SVBB.tsv
4,1095,1318,9314,0.207701062215478,300,152,378,265,0,1500,SVBB.tsv
4,1126,1335,9654,0.2108614232209738,307,162,383,274,0,1550,SVBB.tsv
4,1154,1375,10082,0.20981818181818182,312,162,391,289,0,1600,SVBB.tsv
4,1191,1391,10387,0.21405463695183322,328,164,398,301,0,1650,SVBB.tsv
4,1206,1404,10721,0.21474358974358973,333,164,401,308,0,1700,SVBB.tsv
4,1231,1422,11007,0.21642053445850915,338,166,410,317,0,1750,SVBB.tsv
4,1258,1431,11261,0.21977638015373865,345,171,417,325,0,1800,SVBB.tsv
4,1274,1456,11659,0.21875,350,177,421,326,0,1850,SVBB.tsv
4,1304,1483,11955,0.2198246797033041,360,189,428,327,0,1900,SVBB.tsv
4,1347,1519,12370,0.22169190256747862,374,202,442,329,0,1950,SVBB.tsv
4,1384,1539,12748,0.22482131254061077,390,205,459,330,0,2000,SVBB.tsv
4,1424,1553,13082,0.2292337411461687,400,221,471,332,0,2050,SVBB.tsv
4,1456,1577,13447,0.23081800887761572,410,229,482,335,0,2100,SVBB.tsv
4,1490,1610,13741,0.23136645962732919,422,236,495,337,0,2150,SVBB.tsv
4,1502,1637,14043,0.22938301771533293,428,237,498,339,0,2200,SVBB.tsv
4,1553,1661,14428,0.23374473208910296,432,237,515,369,0,2250,SVBB.tsv
4,1582,1673,14643,0.23640167364016737,438,242,526,376,0,2300,SVBB.tsv
4,1605,1709,14916,0.2347864248098303,444,249,532,380,0,2350,SVBB.tsv
4,1645,1732,15276,0.23744226327944573,464,251,542,388,0,2400,SVBB.tsv
4,1684,1755,15618,0.23988603988603988,481,251,547,405,0,2450,SVBB.tsv
4,1724,1780,16006,0.24213483146067416,499,252,555,418,0,2500,SVBB.tsv
4,1751,1793,16319,0.24414389291689906,510,258,559,424,0,2550,SVBB.tsv
4,1764,1800,16531,0.245,514,258,562,430,0,2600,SVBB.tsv
4,1779,1809,16788,0.2458540630182421,518,264,564,433,0,2650,SVBB.tsv
4,1808,1832,17123,0.24672489082969432,528,271,574,435,0,2700,SVBB.tsv
4,1838,1860,17589,0.24704301075268817,539,274,587,438,0,2750,SVBB.tsv
4,1865,1896,18078,0.24591244725738395,547,276,596,446,0,2800,SVBB.tsv
4,1895,1915,18412,0.24738903394255873,554,277,610,454,0,2850,SVBB.tsv
4,1913,1935,18759,0.2471576227390181,560,278,616,459,0,2900,SVBB.tsv
4,1929,1957,19100,0.24642309657639244,569,279,622,459,0,2950,SVBB.tsv
4,1953,1974,19353,0.2473404255319149,574,281,633,465,0,3000,SVBB.tsv
4,1962,1978,19467,0.2479777553083923,580,282,634,466,0,3012,SVBB.tsv
