speaker_number,vo_overlap,vo_total,total_token_number,overlap,s1_and_other,s2_and_other,s3_and_other,s4_and_other,begin,end,file
4,31,123,294,0.06300813008130081,11,13,1,6,0,50,SVX4.tsv
4,103,209,683,0.12320574162679426,33,37,14,19,0,100,SVX4.tsv
4,143,304,1105,0.11759868421052631,48,51,19,25,0,150,SVX4.tsv
4,181,362,1436,0.125,53,67,30,31,0,200,SVX4.tsv
4,214,430,1832,0.12441860465116279,66,77,33,38,0,250,SVX4.tsv
4,251,493,2253,0.12728194726166328,82,92,36,41,0,300,SVX4.tsv
4,300,551,2703,0.13611615245009073,100,111,44,45,0,350,SVX4.tsv
4,337,611,3147,0.13788870703764322,114,124,52,47,0,400,SVX4.tsv
4,364,650,3501,0.14,126,136,53,49,0,450,SVX4.tsv
4,391,698,3889,0.1400429799426934,139,147,53,52,0,500,SVX4.tsv
4,432,733,4269,0.14733969986357434,156,160,55,61,0,550,SVX4.tsv
4,455,788,4688,0.1443527918781726,165,172,55,63,0,600,SVX4.tsv
4,473,832,5076,0.14212740384615385,172,179,55,67,0,650,SVX4.tsv
4,515,872,5547,0.14764908256880735,188,196,60,71,0,700,SVX4.tsv
4,551,915,6073,0.1505464480874317,203,213,63,72,0,750,SVX4.tsv
4,601,961,6476,0.15634755463059313,225,227,77,72,0,800,SVX4.tsv
4,642,995,6856,0.16130653266331657,239,239,79,85,0,850,SVX4.tsv
4,681,1030,7362,0.16529126213592232,254,252,87,88,0,900,SVX4.tsv
4,700,1056,7764,0.16571969696969696,261,258,90,91,0,950,SVX4.tsv
4,733,1072,8071,0.1709421641791045,273,266,99,95,0,1000,SVX4.tsv
4,765,1106,8565,0.17292043399638338,284,271,115,95,0,1050,SVX4.tsv
4,795,1138,8941,0.17464850615114236,294,283,117,101,0,1100,SVX4.tsv
4,816,1166,9316,0.17495711835334476,304,289,119,104,0,1150,SVX4.tsv
4,847,1179,9620,0.17960135708227312,312,298,119,118,0,1200,SVX4.tsv
4,886,1205,9998,0.18381742738589213,325,303,127,131,0,1250,SVX4.tsv
4,905,1215,10258,0.18621399176954734,331,307,128,139,0,1300,SVX4.tsv
4,905,1216,10276,0.18606085526315788,331,307,128,139,0,1302,SVX4.tsv
