speaker_number,vo_overlap,vo_total,total_token_number,overlap,s1_and_other,s2_and_other,s3_and_other,s4_and_other,begin,end,file
4,53,132,309,0.10037878787878787,11,15,11,16,0,50,SXK2.tsv
4,93,199,600,0.11683417085427136,27,23,16,27,0,100,SXK2.tsv
4,136,270,1024,0.1259259259259259,41,37,22,36,0,150,SXK2.tsv
4,187,331,1550,0.14123867069486404,68,52,24,43,0,200,SXK2.tsv
4,240,373,1878,0.16085790884718498,86,63,29,62,0,250,SXK2.tsv
4,293,402,2165,0.1822139303482587,104,82,31,76,0,300,SXK2.tsv
4,362,438,2496,0.20662100456621005,122,101,49,90,0,350,SXK2.tsv
4,430,493,3015,0.21805273833671399,135,125,68,102,0,400,SXK2.tsv
4,470,515,3348,0.22815533980582525,142,139,85,104,0,450,SXK2.tsv
4,504,541,3699,0.23290203327171904,147,150,97,110,0,500,SXK2.tsv
4,509,544,3770,0.2339154411764706,147,153,99,110,0,512,SXK2.tsv
