speaker_number,vo_overlap,vo_total,total_token_number,overlap,s1_and_other,s2_and_other,s3_and_other,s4_and_other,begin,end,file
4,131,118,352,0.2775423728813559,34,38,42,17,0,50,S7A6.tsv
4,154,177,508,0.2175141242937853,26,55,34,39,50,100,S7A6.tsv
4,166,172,486,0.24127906976744187,15,55,46,50,100,150,S7A6.tsv
4,137,168,461,0.20386904761904762,5,58,46,28,150,200,S7A6.tsv
4,151,170,416,0.22205882352941175,42,41,25,43,200,250,S7A6.tsv
4,163,192,522,0.21223958333333334,52,26,55,30,250,300,S7A6.tsv
4,158,189,609,0.20899470899470898,45,50,4,59,300,350,S7A6.tsv
4,118,128,343,0.23046875,27,30,35,26,350,400,S7A6.tsv
4,88,120,267,0.18333333333333332,23,23,22,20,400,450,S7A6.tsv
4,115,163,434,0.17638036809815952,43,37,7,28,450,500,S7A6.tsv
4,157,175,524,0.22428571428571428,42,40,25,50,500,550,S7A6.tsv
4,202,191,636,0.2643979057591623,67,17,52,66,550,600,S7A6.tsv
4,200,216,619,0.23148148148148148,53,42,44,61,600,650,S7A6.tsv
4,194,206,618,0.2354368932038835,40,62,28,64,650,700,S7A6.tsv
4,186,195,565,0.23846153846153847,36,37,54,59,700,750,S7A6.tsv
4,110,163,371,0.1687116564417178,26,37,0,47,750,800,S7A6.tsv
4,98,171,371,0.14327485380116958,12,38,5,43,800,840,S7A6.tsv
