speaker_number,vo_overlap,vo_total,total_token_number,overlap,s1_and_other,s2_and_other,s3_and_other,s4_and_other,begin,end,file
4,111,135,295,0.20555555555555555,33,20,26,32,0,50,S7UX.tsv
4,92,95,251,0.24210526315789474,36,12,6,38,50,100,S7UX.tsv
4,113,132,305,0.21401515151515152,36,12,31,34,100,150,S7UX.tsv
4,101,149,351,0.16946308724832215,29,7,24,41,150,200,S7UX.tsv
4,100,119,315,0.21008403361344538,37,0,25,38,200,250,S7UX.tsv
4,97,105,282,0.23095238095238096,37,4,18,38,250,300,S7UX.tsv
4,88,101,220,0.21782178217821782,23,8,31,26,300,350,S7UX.tsv
4,98,98,207,0.25,18,24,25,31,350,400,S7UX.tsv
4,86,118,262,0.18220338983050846,32,5,22,27,400,450,S7UX.tsv
4,119,131,304,0.22709923664122136,38,27,21,33,450,500,S7UX.tsv
4,89,112,247,0.19866071428571427,27,9,24,29,500,546,S7UX.tsv
