speaker_number,vo_overlap,vo_total,total_token_number,overlap,s1_and_other,s2_and_other,s3_and_other,s4_and_other,begin,end,file
4,130,170,372,0.19117647058823528,40,28,42,20,0,50,SLJW.tsv
4,47,88,163,0.13352272727272727,14,7,13,13,50,100,SLJW.tsv
4,84,102,204,0.20588235294117646,22,13,24,25,100,150,SLJW.tsv
4,94,120,268,0.19583333333333333,16,20,26,32,150,200,SLJW.tsv
4,86,111,231,0.19369369369369369,26,15,25,20,200,250,SLJW.tsv
4,89,146,314,0.1523972602739726,37,22,11,19,250,300,SLJW.tsv
4,115,136,376,0.2113970588235294,37,34,34,10,300,350,SLJW.tsv
4,100,146,332,0.17123287671232876,28,12,32,28,350,400,SLJW.tsv
4,150,215,568,0.1744186046511628,8,67,4,71,400,450,SLJW.tsv
4,138,207,532,0.16666666666666666,9,57,22,50,450,500,SLJW.tsv
4,105,138,334,0.19021739130434784,12,47,46,0,500,550,SLJW.tsv
4,115,153,301,0.18790849673202614,16,34,46,19,550,600,SLJW.tsv
4,98,146,302,0.1678082191780822,17,21,39,21,600,650,SLJW.tsv
4,99,135,282,0.18333333333333332,16,35,21,27,650,700,SLJW.tsv
4,96,132,271,0.18181818181818182,8,32,30,26,700,750,SLJW.tsv
4,106,114,256,0.2324561403508772,24,29,23,30,750,800,SLJW.tsv
4,126,154,319,0.20454545454545456,34,35,33,24,800,850,SLJW.tsv
4,108,138,280,0.1956521739130435,27,31,28,22,850,900,SLJW.tsv
4,117,152,303,0.1924342105263158,30,36,38,13,900,950,SLJW.tsv
4,105,153,323,0.1715686274509804,28,34,43,0,950,1000,SLJW.tsv
4,97,111,264,0.21846846846846846,21,26,35,15,1000,1050,SLJW.tsv
4,84,102,271,0.20588235294117646,28,15,27,14,1050,1100,SLJW.tsv
4,115,169,354,0.17011834319526628,31,36,39,9,1100,1150,SLJW.tsv
4,90,120,211,0.1875,26,23,35,6,1150,1200,SLJW.tsv
4,97,132,261,0.18371212121212122,21,32,22,22,1200,1250,SLJW.tsv
4,0,39,46,0.0,0,0,0,0,1250,1258,SLJW.tsv
