speaker_number,vo_overlap,vo_total,total_token_number,overlap,s1_and_other,s2_and_other,s3_and_other,file
3,250,462,2338,0.18037518037518038,97,79,74,SWHR.tsv
3,744,1429,12333,0.1735479356193142,354,341,49,SWSX.tsv
3,1563,1843,24689,0.28269126424308194,568,387,608,SR4E.tsv
3,633,1098,6960,0.19216757741347906,265,139,229,SK82.tsv
3,514,792,4786,0.21632996632996632,206,184,124,SFRW.tsv
3,568,803,5653,0.2357824823578248,243,167,158,SDQ8.tsv
3,617,965,6250,0.21312607944732298,208,240,169,SVLZ.tsv
3,278,510,2792,0.18169934640522875,87,93,98,SX4N.tsv
3,480,766,5144,0.20887728459530025,130,174,176,SV5R.tsv
3,244,428,1845,0.19003115264797507,66,104,74,SHKZ.tsv
3,590,799,5319,0.2461410095953275,158,235,197,SAAF.tsv
3,942,1268,11002,0.2476340694006309,266,354,322,SA88.tsv
3,435,944,7236,0.15360169491525424,36,204,195,S8NX.tsv
3,1022,1117,10576,0.3049835869889585,392,334,296,S8LG.tsv
3,618,956,8458,0.21548117154811716,210,164,244,S49V.tsv
3,538,819,5705,0.21896621896621896,183,163,192,S4NB.tsv
3,922,1420,12956,0.2164319248826291,419,423,80,SQP2.tsv
3,637,1014,6451,0.2094017094017094,194,241,202,SNQD.tsv
3,383,586,4072,0.21786120591581343,122,124,137,SE7R.tsv
3,324,507,3095,0.21301775147928995,130,109,85,SUJ8.tsv
3,457,717,4252,0.21245932124593211,170,100,187,SPC3.tsv
3,716,1119,7637,0.21328567173071195,298,255,163,SEYD.tsv
3,978,1310,14555,0.24885496183206107,394,249,335,SGMT.tsv
3,974,1238,13415,0.2622509423801831,299,382,293,S73U.tsv
3,273,634,4388,0.14353312302839116,136,136,1,S2NQ.tsv
3,287,511,2908,0.1872146118721461,132,132,23,SPZR.tsv
3,1029,1274,12246,0.2692307692307692,301,372,356,SJH6.tsv
3,265,492,2563,0.17953929539295393,106,92,67,S6AZ.tsv
3,1035,1256,11948,0.2746815286624204,375,303,357,SQ36.tsv
3,380,627,3321,0.20202020202020202,146,99,135,SHHU.tsv
3,413,854,5204,0.16120218579234974,178,159,76,S69V.tsv
3,397,577,4894,0.2293471981513576,156,127,114,SVC7.tsv
3,324,532,3059,0.20300751879699247,79,131,114,SJRX.tsv
3,642,1168,9650,0.1832191780821918,311,311,20,SH2P.tsv
3,2040,2324,30715,0.29259896729776247,741,623,676,S8LS.tsv
3,1437,1699,18855,0.28193054738081225,481,549,407,S8X7.tsv
3,963,1191,12106,0.2695214105793451,385,341,237,S457.tsv
3,369,575,3147,0.21391304347826087,152,127,90,SJ2E.tsv
3,721,1030,9522,0.23333333333333334,309,295,117,STNE.tsv
3,1244,1481,16318,0.27999099707404906,460,402,382,SPYH.tsv
3,217,424,2019,0.17059748427672955,91,88,38,SP5V.tsv
3,330,473,2808,0.23255813953488372,95,111,124,SN33.tsv
3,1632,1830,21611,0.2972677595628415,610,483,539,S2ZU.tsv
3,531,812,4437,0.21798029556650247,178,198,155,SN2R.tsv
3,444,1139,7811,0.1299385425812116,184,96,164,SP84.tsv
3,1357,1623,16439,0.2787019921955227,428,440,489,S7KK.tsv
3,662,891,8298,0.24766180321735878,261,221,180,S527.tsv
3,631,927,6624,0.2268967997123337,173,233,225,SUH7.tsv
3,1136,1533,14331,0.24701021961295933,260,437,439,SRL9.tsv
3,613,794,6552,0.2573467674223342,237,169,207,SNPP.tsv
3,689,902,5558,0.25461936437546195,213,238,238,S4CU.tsv
3,297,596,3117,0.16610738255033558,127,121,49,SXUQ.tsv
3,399,915,6248,0.1453551912568306,137,168,94,SVLK.tsv
3,807,1067,8916,0.2521087160262418,281,266,260,SV97.tsv
3,1292,1477,16595,0.29158203565786506,434,415,443,SC67.tsv
3,433,634,3794,0.22765509989484753,113,140,180,SM8E.tsv
3,510,758,4743,0.22427440633245382,191,158,161,SZ8H.tsv
3,404,762,4913,0.17672790901137359,182,179,43,SM6Y.tsv
3,443,601,3637,0.2457016084303938,150,171,122,SZ6C.tsv
3,976,1373,16900,0.23695071619325078,392,326,258,SJ3S.tsv
3,1379,1531,16121,0.3002394948835184,463,447,469,SR8V.tsv
3,148,358,1767,0.1378026070763501,71,67,10,SR87.tsv
3,734,869,7220,0.28154967395473723,230,268,236,S26N.tsv
3,350,534,2516,0.2184769038701623,135,124,91,SEL5.tsv
