S0523	right
S0486	right you're go to talk about china today and your recent visit there
S0523	yes er yes indeed i er erm i go to erm to china at the end of september come back in october we be there for about three weeks or so three to four weeks and erm yeah i've get some photos that i can use to sort of discuss or or just tell you a little bite about the what happen and the first the first one i i'll show you the last photo i er we take it's a bite of a selfie
S0486	oh right
S0523	and it be it's me er look at a a a nice cup of coffee and this this be in airport and it be the last drink to use up the local currency and erm and you notice there be er there be two two erm when it when it when when it it's when the camera behave itself erm erm and you notice there's two straw and a stirrer and this turn out to be the most expensive cup of coffee er i've ever pay for it be er a ordinary cup of coffee i would say and it be six pound for a cup of coffee
S0486	gosh
S0523	and i don't think anywhere possibly in china be that much most cup of coffee in china be probably around erm the erm what they be in this country about two and a to two pound fifty three pound but this be we only have so much currency leave and we think we'd have two cup of coffee but in the end everyone erm on our on our in our group decide that this be just six pound be just too much so everyone ask for a straw two straw to to have our er to have the coffee anyway that it's just a it's a little bite of of fun there erm but if i go to the the the first first place we go to which be erm we arrive in beijing er at the end of september the weather be very very kind to us actually because beijing can be very erm er they have a lot of pollution and er but the two two to three days we be there it be erm as far as one could tell it be er well it's nice and sunny you could walk around it be lovely and warm and er and it be really right quite you know quite pleasant erm er place to to walk around but er the the pollution er we be tell can get down to very it can be very very bad er bad level of pollution so people be have to wear mask and that sort of thing but we didn't while we be there we didn't we didn't see that erm we do hear that when we get to shanghai at the end of our trip that in beijing that the the pollution have close in and er the index we be tell be over three hundred er however they rate the pollution index but it be over three hundred the erm er and apparently london in comparison so someone be say the pollution index in london which some consider to be quite bad be ten to fifteen
S0486	right
S0523	so so the the difference between beijing on a bad day and london be er be a be a different erm er you know different kind of er
S0486	category
S0523	category altogether really anyway we be we go round erm er we go round erm er er beijing erm on our couple of days and we go through to what's call a summer palace and erm and this be er the the the one of the things that i hadn't fully appreciate erm when when we go until we go there just how much history there be in china i mean you they their history go back erm thousands of years
S0486	mm mm
S0523	and it's just mind blow absolutely mind blow so
S0486	mm mm
S0523	it it it be a fascinate er and i don't think the chinese themselves actually have erm er have appreciate just how historical their erm er you know how much history they actually have and and and you probably know of erm it's be on the antique roadshow the other day that because erm they've over the years they've get rid of a lot of their antique
S0486	mm
S0523	and the antique be appear in the antique roadshow and various place all over the
S0486	mm
S0523	all over the world that the chinese now want to er repatriate as many antique as possible
S0486	mm
S0523	erm and er and i think a lot of their kind of old historical house they may have they may have er discard or or just throw away lot of really ancient erm er antique and now they they they need to kind of refurnish er they've realise now what a big draw
S0486	mm mm
S0523	er er it be for tourists i'm not sure if they still really think erm you know that they have er a i mean like ourselves and the royal family erm be be a be be probably a a much closer feel than a a normal an average chinese person to their emperors the emperors be you know a kinda long go
S0486	mm
S0523	erm type of thing whereas the the royal so so but anyway they be try to erm to erm er make a big thing of all their historical monuments now and of course they've get the terracotta er army as well terracotta warriors major major thing erm but erm er yes the er er er how how how can er one say their the mm
S0486	well well it's a bite like the national trust isn't it because the national trust erm get home donate to them to the country
S0523	yeah
S0486	and then they have to then furnish them again and look for antique and they buy a lot of antique for things to go in the national trust so it's exactly the same thing but the chinese be really need things now i mean if if you've get something tuck away in a cupboard or in the attic or
S0523	mm
S0486	aunt flo's old bowl or something that nobody think be any great value
S0523	yeah
S0486	but to the chinese it can be worth a huge amount of it be worth a huge amount of money to them to get it back
S0523	yeah it it it it it could be worth a
S0486	mm
S0523	an awful lot of money and erm erm and and it do depend on the erm the on the antique roadshow they be say it depend on what you know like all antique it depend what be erm popular at any one time so the erm the tang dynasty be the er the the emperor then he really encourage arts and culture and there be a period of er er prolong erm stability in the country and that give rise to lot of erm arts and craft which have erm we go into a couple of really really top notch er museums where the er and art galleries where they've get all these a lot of these artefacts go back to er six thousand years bc it's an absolutely
S0486	mm
S0523	absolutely phenomenal er the the art and the the skill er because they didn't have all the modern equipment that we have today so they er you could you could see what sort of skills they have
S0486	mm
S0523	oh you know six thousand years ago it be it be it be quite quite erm quite something
S0486	mm and of course chinese medicine be the oldest and most ancient form of medicine in the world
S0523	yes yes indeed
S0486	and when people rubbish acupuncture and that sort of erm thing
S0523	yeah
S0486	really erm they don't really know what they're talk about because that that's be practise for for many years and if it's practise properly it have a beneficial result
S0523	mm mm yeah yeah yeah
S0486	and a lot of erm chinese medicine all the herbs and that sort of thing they're the origins in a lot of proprietary medicine today
S0523	mm mm
S0486	and that's worth erm think about
S0523	yeah i i yeah i think there be an there we have a lot we be give a lot of information actually we be it be very very good tour
S0486	mm
S0523	but i i think erm what we didn't erm er what what could've be carry on a separate talk be the medicine side
S0486	yes
S0523	er that be er and er the other thing be erm i felt that the that the do and they do an awful lot of silk print so
S0486	oh yes
S0523	that that would've be er or silk erm er silk print so that would've be quite good if they'd be able to give us a a talk about how how they do all that and that would be quite good
S0486	yes it would
S0523	er we have a a talk on feng shui erm and we have lot of talk about the history but the history be so
S0486	right
S0523	so vast that erm erm but anyway go back to what we what er our our tour we we we be be we be we okay
S0486	carry on carry on
S0523	okay erm we have erm the we go round the summer palace and erm er the other thing the few things that i hadn't appreciate one be just how much history there be in this in china and it it's such a big place the other thing be i i i i er i should've realise just how many people there be so whereas you normally go to place in in europe and you there'll be a place people from america japan etcetera the the it seem to me the majority of tourists in china be the chinese so because it's one point three one point four billion the number of people
S0486	yes
S0523	there be huge number of people that erm they erm er gosh look at that over there you see he's fall into the water he's come right back up again gosh that's good
S0486	well just for the tape we're sit on the in and there's a party of five canoeists erm try to go over the erm while we're record this erm this talk today erm and the the interest thing be that you may hear and we're in a car erm but you may hear some erm water sound in the background and so while we're talk about china we're also look at canoeists try to get up the weir
S0523	and and they're go try to go up the weir and some of them be go up and then they're completely go under the water and then flip up again which be quite
S0486	yeah
S0523	quite remarkable
S0486	it be
S0523	how how they're quite skilful they're hold hold their obviously hold their breaths and and erm and themselves very quickly erm
S0486	yeah they're all erm they're actually sort of as you can see they're they're actually really cover in these little canoe aren't they
S0523	well not yeah
S0486	they've get these sort of like what do you what do you call them they're like canvas cover that they fit round their body so that they
S0523	mm
S0486	the actual canoe be attach to their waists
S0523	yeah yeah
S0486	which be erm really interest
S0523	yeah they're they're very i don't think they'll i don't think they've get any hope of go up that weir
S0523	but maybe what they're try to do be to practise erm
S0486	turn on a wave
S0523	turn yes turn on a wave because erm you you yeah you've gotta be able to cope with erm i've do a little bite of white water raft and
S0486	oh
S0523	you you have to you have to cope with the erm the currents and the erm and also get wet and then recover sort of thing
S0486	anyway well shall we go back to china
S0523	mm yeah yeah indeed yeah so so er just so we we so first couple of days or so we've first day we go to erm fact we arrive erm i think it be about nine or ten o'clock in the morning so
S0486	right
S0523	so so we we couldn't go straight to our hotel so we we do erm erm we go to the summer palace the first day the first day we get there so we straight away we go erm from the airport on our tour it be quite remarkable really
S0486	yes do you
S0523	we have a we have a very good flight and
S0486	do you sleep at all on the flight
S0523	er yeah i have a a fair fair er fairly good yeah so it be erm yeah it's it's be it's er british airways flight and it be it wasn't bad it be erm yeah so it's and we er here be some photograph that you can see how crowd it be because most of these people here they're they're obviously people from all over the world but er there's an awful lot of er chinese people er go round and we our first kind of instruction be if you see two lions like this
S0486	yeah
S0523	you'll see er the male lion on one side and there you'll see it see and you'll see yeah a male lion on the on that side as on the leave hand side and and then the female one be on the right and you can tell the female one because she's get a a kind of baby lion er under her leave or i think it's her leave or right claw
S0486	right
S0523	and and and and the the way that be sort of er interpret be that erm that the woman be always right you see
S0486	oh
S0523	er that be our our tour manager say that's a a modern twist on the er on a very probably on a very old theme of something
S0486	yeah
S0523	er but the i mean this look better on the erm on a on a larger screen but the the the the er decoration and everything er on on some of these things
S0486	describe what we're look at here
S0523	it's a it's a erm well it's it's erm it's ancient i dunno erm
S0486	portico
S0523	yeah i i think when i say ancient it's a lot of what you see in china isn't it look old but it may not be it may be only in the last twenty thirty years it might or the last fifty years because they've do such a lot of work erm er because they know history be such a a big draw to people erm and there's a lot of interest so they've this might be very old but it might erm a er er er the british i think this be the place er or one of the place that when the british go to it er it might've be beijing but they burn a lot of er the the erm old build
S0486	oh dear
S0523	erm so the brits didn't have a a great erm erm
S0486	sympathy
S0523	sympathy erm there be a story that erm er erm er i think it's a colonel or captain mccartney do
S0486	right
S0523	er in the nineteenth century erm there's a story that he go to do business with the chinese and the chinese at that time be start so erm oh well they'd be quite a close country because of the big
S0486	mm
S0523	land er big range of mountains on the leave hand side of the country
S0486	mm
S0523	but and they've always be very kind of they've always be quite war kinda nation and they've get have warlords and and that sort of thing and and very and they haven't be really interest to go outside but at one stage the emperor be think about do more business with west to with europe and open up and that's in the nineteenth century and then he have someone like mccartney this captain mccartney or colonel mccartney or whatever he from britain go along and erm and he bring lot and lot of gift erm so we be tell for the emperor and erm and that's not that be good you know diplomatic thing to do
S0486	mm
S0523	but what he wouldn't do he say he would not bow to the emperor
S0486	uhu
S0523	he say he would only bow to his her majesty or his her majesty the queen
S0486	mm
S0523	he you know he will never bow to anyone else and because of that even though he bring load and load of present the emperor erm take erm take a complete erm
S0486	umbrage
S0523	yeah umbrage and erm wouldn't do any business with with the british and it it get very very difficult it lead to erm britain er it's er it's the it's the it's call the opium war
S0486	mm mm
S0523	where erm er as i believe the erm britons be er british be end up profiteer from er sell er opium to the chinese create a lot of erm drug erm drug dens in china
S0486	mm
S0523	er and and profiteer on on on that basis
S0486	mm mm
S0523	until erm and that sort of put put erm put the er chinese off erm europe for a number of years and it's always probably be a bite suspicious ever since
S0486	mm do do you remember that mum go to a jumble sale once and buy an ivory erm pipe
S0523	yeah
S0486	and it be it be always keep in the marble slab drawer in the hallway do you remember that be years and years it be there with the gloves and what not
S0523	oh i do yes i do
S0486	and she would never take it out and put it on show because she'd find out it be an opium pipe
S0523	oh
S0486	and it be for drug and she be erm and we get and we get rid of it i can't remember and you know that's one of the things that would be worth quite a lot of money now
S0523	i i think it would
S0486	i bet you that be you know we get rid of it i can't remember why
S0523	mm
S0486	erm she hang onto it for age and age
S0523	mm
S0486	erm and er yes erm that's one of the things you know if you take it to an antique roadshow
S0523	mm mm
S0486	it be very old then
S0523	yeah
S0486	so it it may have be worth a huge amount of money but we didn't erm
S0523	no don't know
S0486	yeah she she we just get rid of it i i can't remember my things you do get rid of things when erm
S0523	mm
S0486	well it it be erm no one be ever go to display it and it be definitely surplus to requirements so we didn't use it
S0523	mm
S0486	anyway so china again
S0523	so china so erm so anyway erm so lot of pagodas erm and sort of quite attractive sort of
S0486	tower
S0523	er tower erm erm and erm
S0523	room which the the the emperor erm and his er family er live and i i think they also have oh there's the female lion
S0486	right
S0523	with the cub under her leave claw
S0486	right
S0523	er we go into the last few days and and erm they have the lions round the wrong way
S0486	oh do they
S0523	yes yes so we we we should've point it out to them but erm very decorative and erm er actually it's quite hot in here shall i er can i take my coat off
S0486	yes you can
S0523	er
S0486	erm we'll keep i'll keep talk you take your coat off
S0523	yes yes yes yeah yeah i'll just
S0486	erm 's open the door of the car now and he's talk his coat off erm while i'm watch these canoeists who be really go mad over these rapids out here erm the sun's come out and the sky be erm the sky be a sort of grey colour we're just close the door of the car then and erm it be warm but we've get to keep the the doors and windows close because er of the because of the erm sound of the rapids out here
S0523	mm
S0486	and the erm now we we're go to to back to talk about china so i'll just pass this over to you pop that there alright
S0523	so erm we go round the summer palace which be very interest lot of erm but it it be so full of people but it be still very interest erm and er very artistic er sort of chinese erm bridge erm pagodas and erm
S0486	beautiful lantern there
S0523	yeah yeah lanterns and the special walkway that's it be a lot of these things be design for for erm the emperor and he er most of them have er a load of concubines and erm it be quite a we didn't see any concubines while we be there
S0486	i always think concubines it always make me think of porcupines
S0523	yes yes
S0523	so erm then what do we do then er let's have a look erm
S0486	what be your hotel like
S0523	hotel erm it be quite pleasant it be er a very central er hotel and erm there be er two or three weddings go on there at the same time it's quite quite it have a convention centre right next door and erm and they erm
S0486	and the people who be get marry be they all chinese
S0523	yeah yes all chinese very erm we we erm we didn't see very erm the chinese seem to be quite erm sort of er kind of quite affluent er chinese that we saw erm and er but but there be there's a big erm apparently a big dichotomy of er or split between the chinese who live in the cities who probably compose i dunno twenty to thirty percent of the population
S0486	yeah
S0523	and the the poor peasant farmer who erm comprise the most population so so the chinese government whatever you you know dispute about their erm their motives and everything and erm they have a a a major economic problem at the moment between the the people who've get erm er a more or more than you know be pretty erm affluent erm group of people who get well educate and all that sort of thing and then you've get the the sort of peasant farmers who who be just scrap a live it's it's a real erm they have get a real big problem so erm just as sort of an aside on that they obviously erm the communist party er who run china erm but you know you just think that nowhere else on earth be there a government er as far as i'm aware that have to control er as much as twenty percent of the the er population of the world
S0486	right
S0523	so er they have er so when it come to erm
S0486	yeah quite a think isn't it
S0523	it it be it be quite a think and it and when they when you think that erm they they're not very good on their human right record be be be not very good at all but then erm their the history of china er as it come over to me be that it's be pretty brutal erm er the you know er over the thousands of years that they've be erm in existence people er people've be execute and erm people there've be you know all kinds of war and everything like that
S0486	mm
S0523	which we in europe have never hear of er er er and and and it's be really really brutal and
S0486	no no
S0523	erm if you disagree with anyone in china er the emperor would you know literally er it seem to me have er his head would come off or something like that
S0486	right
S0523	so so it you know and i think erm it it might be in the erm er chinese er psyche er psyche that er that a erm the er the the that that's what if there's any unrest that that they'll they deal with people very very harshly erm so erm er we we erm i don't know if you saw on the news the other night er just when we get back on the bbc news erm there be a there be a a film on erm the bbc about president xi visit
S0486	mm
S0523	er
S0486	yes yes
S0523	and then they have a picture of this big church that have be erm where the people of this local i dunno town have group gather together and build a big church erm erm a christian church
S0486	right
S0523	erm and there be picture of the congregation erm all say their prayers and everything like that
S0486	mm
S0523	and and and on one side the chinese be be be very supportive of erm different religions and different group
S0486	yes mm mm
S0523	but erm there be one chap that attach to this church who be a bite outspoken and erm and so the next picture you see be that erm the erm this er the diggers move in
S0486	oh no
S0523	and they they completely erm they
S0486	raise it to the grind do they
