S0384	oh rafael
S0187	that be a joke
S0384	er
S0187	they just rough
S0384	oh come on mate
S0187	too low rafael out the side
S0187	yeah shit
S0188	shitty pant let's have a look
S0187	ah
S0384	oh go on son
S0187	get lose he's gotta be off
S0187	woo hoo
S0187	i have just kick him right in the chest
S0384	oh it's fuck
S0187	you alright
S0187	feel free to open the door open the window open the curtain jeez
S0188	no
S0187	open the curtain mate
S0188	have batshit text you back yet
S0384	yeah she be batshit
S0188	be she
S0384	well she be but she hasn't be that batshit
S0187	she be but she hasn't be that batshit
S0188	be she still come to
S0384	yeah she's just shop she's in now
S0188	oh that's weird
S0187	why's that weird
S0188	i dunno
S0187	it be weird it the fact that it's just as you've say i'm in
S0384	i be like
S0187	cos
S0188	no it's not be to
S0187	no she she turn up
S0188	from like yeah from last night yeah
S0188	i really wanna go to i'm i'm i've never she say never be or something
S0384	yeah she's never be
S0187	she's never be and mm
S0187	okay
S0188	and he wake up guess who's on the way to
S0187	yeah that's that be definitely definitely
S0188	be there a bite of a
S0384	yeah sure
S0187	that's alright
S0188	so she's not far away at all who know it's only down the road
S0384	i could go and meet her couldn't i
S0188	yeah
S0187	no mate you you
S0384	bring her back here shag her get tire down for life
S0187	tie down for life no you're play with me mate even though i'm not play but
S0188	i dunno
S0384	i do like to dig myself hole gotta be honest i fuck love dig hole
S0188	you're a hole digger
S0384	i be indeed a hole digger yeah
S0187	yeah ah
S0384	ref come on just play on play the game you know
S0187	just play the game don't need rule you get
S0384	sterling where you go
S0384	what's what the fuck
S0188	from here
S0384	what the fuck be go on
S0188	oh
S0187	sloppy
S0384	yeah
S0187	sloppy giuseppe
S0188	giuseppe sloppy no play
S0187	what
S0188	play
S0187	yeah but why would you just go on go on
S0188	yeah
S0187	yeah
S0188	yeah
S0187	yeah mate
S0188	yeah
S0384	why's he get the armband on
S0187	cos he's captain ain't he we've get three captain they just decide whenever they wanna wear it and fletcher's one of them apparently so er you know
S0188	what big big darren fletcher
S0187	yeah he's like our third choice captain but he never play and be on the verge of go to west ham
S0188	big fletch
S0187	i don't want him to leave he could be like diaby for us
S0188	it would be sad to see big fletch go be he injure again or what what what be he now
S0187	he's never
S0187	he hasn't be for ever well he be he he do get injure again he come back and play about ten minutes and get injure again
S0188	you would just fuck sack him off wouldn't you
S0187	not if you're arsène show how good their club be mate we'd've ship him off
S0188	well abou diaby
S0187	no i say we would've ship him off
S0188	oh right yeah
S0187	i think we want him back in the day
S0188	back in the day like
S0187	it's like we have erm ramsay be suppose to come to us and he pick arsenal
S0188	mm where be he from
S0384	cardiff
S0187	cardiff
S0384	what just happen
S0384	what you do what be you do you moron
S0384	you fuck head you shit pant you fuck head
S0187	you fuck head and you shit pant
S0384	you fuck head jeremy stamp on his head
S0187	you you just love kick my players on to the grind
S0384	yeah
S0187	yeah
S0384	yeah
S0187	put them down
S0188	ah you could've go straight through there send him send or mario or mario
S0384	who's that fuck everyone
S0187	i know just mate ain't he
S0384	be you
S0384	be you some sort of moron
S0187	i'm down to ten men here by the way
S0188	be you
S0187	down to nine men actually cos rooney's on off the pitch
S0188	fuck who get send off
S0187	er rafael
S0188	what do he do
S0187	tackle like paul scholes
S0188	okay
S0384	a bite of scholes bite of fuck scholesie
S0188	scholesie mate
S0187	's 's decide that he's gonna be 's decide he's gonna be cutinho today with a side of paul scholes tackle
S0188	yeah
S0187	mm
S0188	right i'm gonna go to the gym
S0187	i'm gonna be roy keane tackler
S0384	hello
S0187	i buy a load yesterday actually erm
S0384	don't let him
S0187	er look in bottom draw i think no the bedside table
