S0012	and it's now record see so that you can say whatever you like now
S0013	yeah
S0012	probably dry up our conversation
S0008	yeah
S0012	hasn't it
S0013	what about do she find a house yet
S0008	oh that be when we be in the pub it be a bite like one of them program where house find things
S0012	oh right yeah
S0008	that's say oh i get a make and you know go outside and check the estate agent and make my offer for the house
S0012	oh i see
S0008	and he's go down to the pub and oh oh no signal no signal i can't work it but they put an offer in on this place and uh they the people sell it want more
S0012	do they yeah
S0008	yeah and they're only talk about the odd two and a half grand
S0012	oh right
S0008	and they say no it can't do any more no no
S0013	mm
S0008	i mean it be already a load above the limit
S0012	yeah
S0008	and um and then they say okay so they're basically
S0012	go through the motion
S0008	go through with it
S0013	oh
S0008	but it's a house it's in a it's in a a road a street in brockley which be sort of south london sort of half way between peckham and greenwich
S0012	oh right yeah
S0008	they're not that far from the river
S0012	no
S0008	but it's on on the sort of i think it's the sort of near where the south run through
S0012	be it right yeah yeah i know
S0008	i think it's the south doesn't go through greenwich
S0012	yeah it go right through greenwich doesn't it
S0008	yeah
S0012	yeah
S0008	be that right
S0012	yeah so it be right
S0013	mm
S0008	yeah well whichever get a taxi you just have to drive through greenwich and carry on to the
S0012	yeah i'm sure it be greenwich
S0008	mm
S0012	yeah
S0008	anyway and uh it's a sort of street house which be late victorian and the ones with the sort of sort of nice ornamental sort of stone arch over the doors you know what i mean
S0012	yeah yeah
S0008	and they be you know quite pretty pretty house
S0013	oh
S0008	a bite like college road isn't it
S0012	oh right yeah i know yeah
S0008	and um
S0013	get bay windows as well
S0008	i think yeah i think that's the sort of a thing
S0013	that's nice
S0008	yeah but sort of quite nicely proportion little house
S0012	yeah
S0013	mm
S0008	but hers be not one of them there's be one you know where the bomb drop and knock it
S0012	i think it be a
S0008	knock a hole in the the where the terrace be
S0013	oh dear
S0008	you know it look like the council come in and build just these brick prison block type house
S0012	oh right
S0013	oh
S0008	yeah as in infill yeah no didn't bother at all to blend in with the rest of the street
S0013	yeah
S0008	and it's funny cos the house be like twice as wide as a normal house
S0013	mm
S0008	and divide in to a flat's length width wise you know
S0012	oh be they
S0008	so the bottom flat be a you know what i mean
S0012	yeah
S0008	yeah normally the house be sort of one room and a hall way go up aren't they
S0012	that's right
S0008	go up the stairs and then there's one room and then the little room
S0013	right
S0012	yeah
S0008	well this be like one room and one room
S0013	yeah
S0008	and you know bedroom and that sort of
S0012	yeah
