S0589	oh just water can it
S0590	oh right well that's quite a good way do you do the front as well god it's windy the
S0588	it's ever so windy i be just gonna say
S0590	oh and the wind be icy cold
S0588	it's lovely in here
S0590	yeah
S0588	i love watch it
S0590	yes
S0588	look at that tree and the telegraph
S0590	yeah and yeah and the aerials
S0588	yes mm and then the wind whistle
S0590	yeah
S0588	through
S0590	yeah
S0588	through there as well i like that
S0590	yes yes
S0590	actually i think
S0590	it occur to me that if if tomorrow's a reasonably look day a reasonable look day would you like to go down to
S0588	i'd love to go to actually
S0589	oh sweet
S0588	that's a really good idea we could go to
S0589	sweet
S0588	although
S0589	it only take us how long do it take us
S0590	oh just over an hour
S0589	yeah
S0590	i mean it's very little amazingly little just by
S0588	well when we go on the train it be super
S0590	oh
S0588	easy
S0590	yeah
S0588	that be go dunno it be like go somewhere in wasn't it
S0590	yeah i'm sure it just take an hour to get down erm
S0588	well this be why i think i want to do a day trip to cos it's so easy to get to
S0590	yeah but we could go in the car
S0588	yes
S0590	what thinkest thou
S0589	uhu
S0589	have to get up early
S0588	we would actually
S0590	well it doesn't seem to
S0588	mm
S0590	what do you call early anyway
S0588	i might be a little grumpy
S0589	nineish
S0588	well
S0590	yeah
S0588	it do it only take an hour like you say
S0590	well you're i mean as long as you leave by eleven so long as
S0588	yeah
S0590	you leave by eleven
S0588	so that would be quicker than go say to visit see in
S0590	oh much quicker
S0590	yeah
S0588	that's bizarre isn't it
S0589	well we should invite
S0590	yeah
S0588	well we'll play it by ear see
S0590	yeah
S0588	how we feel but i think that's a very good idea
S0590	yeah
S0588	there's a lovely second hand bookshop that i'd like to go to
S0590	would it be open on a sunday
S0588	i don't oh of course it be sunday and that be a sort of more old fashion bite like sort of
S0590	oh i know i know the bookshop you mean actually yes
S0588	yeah
S0590	yes
S0588	cos things still close in don't they on a sunday
S0590	yes yeah
S0588	and i forget that
S0588	and it's not holiday season
S0590	no
S0588	true
S0590	no exactly
S0588	good point
S0590	yeah
S0588	mm mm we could check things on the internet
S0590	yeah
S0588	or we could
S0590	you've get nobody live down there now have you they still own a house don't they
S0588	yeah we have get someone live down there
S0590	oh yeah because
S0588	but i think she won't be there
S0590	yeah
S0588	she'll probably be in
S0589	why
S0588	because it's my mum's thing
S0590	oh right yes
S0588	so i send her but i've send her
S0590	and that's her grandmother
S0588	yes
S0590	yes
S0588	that's her grandmother
S0590	yeah yeah so what be they actually do be they take her out for a meal or what
S0588	no they're go to the care home
S0590	uhu
S0588	and i'm not sure really
S0590	yeah
S0588	i think
S0590	probably have a birthday cake
S0588	well yes but my mum's just go to be daunt by the whole thing really and i think it didn't really sound like a very good idea actually because
S0590	oh
S0588	cos i think she's sort of not gonna know who anybody be
S0590	mm yeah
S0588	well
S0590	yes
S0588	and i think she's certainly not gonna know who i be if i go there
S0590	yeah yeah
S0588	and she doesn't need another person well you know
S0590	yeah
S0588	it's more for the children than er than her really i think
S0590	yes yes
S0588	so
S0590	photograph with grandma or maybe great great grandma
S0588	yeah
S0590	yeah
S0588	well it will be hold on no would be great no just gran just grandma
S0590	do your mum have any
S0588	great
S0590	great
S0588	she's get one on the way
S0590	ah right yeah
S0588	cos be have one
S0590	oh right yeah
S0588	so so i'll be great aunt
S0590	you will
S0588	to that one yeah
S0590	do they know what they're have and his wife
S0588	i need to email them
S0590	yeah
S0588	to see do they know what sex the new
S0590	yeah
S0588	human be go to be
S0590	mm ah
S0588	everybody's have them aren't the
S0589	uhu
S0590	who be the others
S0590	why why
S0590	who be the others
S0589	mm
S0590	yeah
S0590	how many do your the people who use to live next door to you in who now live here er i don't mean in in
S0588	how many what
S0590	children do they have
S0588	two now
S0590	yeah
S0588	yeah i like your vladimir nabokov book it's a very good look cover isn't it
S0589	look at the harlequin
S0588	mm
S0589	uhu
S0588	it look really nice so we're lack book on the two top shelve
S0589	it's cos i don't read small paperbacks be the issue
S0588	so they're never go to get fill then what be gonna do about that
S0589	well i could try and find some editions of book i read that be smaller
S0588	mm
S0589	it's just miscalculate
S0590	this be well calculate though why didn't you do them the same
S0588	yeah
S0589	well mix and match we just didn't match as much as we mix
