S0547	on christmas day we have erm cauliflower cheese or cauliflower
S0549	we never have cauliflower cheese
S0548	we weren't no
S0550	why would you like some
S0547	you mucky pup
S0549	you always do that
S0547	i quite like erm cauliflower
S0549	you like cauliflower
S0547	mm really like cauliflower cheese don't i
S0550	can get one of those er things that we have
S0547	what's one of them things
S0550	what
S0549	that's cauliflower cheese mix
S0550	mm
S0549	things mother don't like em
S0550	well she'll not have any then
S0547	it's quite nice though
S0549	repeat that in english please
S0547	i think
S0550	when she go off gallivant the other night other weekend she leave with a pie potatoes and a cauliflower cheese already in a sauce do say throw it all in the oven
S0548	right
S0547	we
S0550	it be nice
S0548	no i look at it today and she say oh i didn't like cos i'd say that you like it you two
S0547	mm
S0548	of course she don't like it
S0550	well she only have one that big
S0548	she buy one
S0547	i think it be alright
S0549	what be it a set
S0548	there's be like a meal deal from mark's
S0550	if you buy one cook it and put it in your own dish i wouldn't bloody know
S0547	no reason i ask be cos i think we'd discuss it about cauliflower
S0549	we never have cauliflower though
S0548	do sometimes
S0549	for christmas
S0548	oh no
S0547	there be a moment when you reveal to us that you didn't like carrots be it
S0548	don't like carrot and swede
S0549	who doesn't
S0548	your dad
S0549	you don't like carrot and swede
S0550	no i didn't say that what i say be carrot and swede just end up with like a pulpy mush on your plate nothing to eat
S0549	right so what would you have
S0550	i'd have em separate or with cauliflower cheese or
S0549	we have to do them separate cos some people don't like swede so we mash up the swede and just do carrots
S0548	mm
S0548	erm no i've get parsnips i've get sprout carrots and swede
S0547	wasn't sure if you decide if we be replace it or not cos that's why i ask
S0548	yeah i like it
S0549	you don't like green bean do you
S0548	not really
S0549	i can eat them if i have to the very fine bean but wouldn't eat ordinary bean
S0547	like asparagus
S0548	mm asparagus
S0549	you prefer asparagus
S0548	mm
S0549	to bean
S0548	mm
S0549	they're practically the same texture same thing
S0548	no they're not
S0549	aren't they
S0547	can't remember the last time i have bean
S0548	asparagus have its own flavour
S0549	it's a bite weird you can only have it like three days in a year like a panda
S0548	mm mm yeah
S0547	a panda
S0549	mm there's only they fertilise something like two days in a year
S0547	mm
S0549	it's like once every three years or something
S0550	that's nice then while i'm have me tea
S0549	like pandas love em
S0548	do he
S0549	go to to see the pandas
S0548	they're a pair up there
S0549	yeah they bring a male in didn't they couple of years ago it be all over the news
S0550	can't remember
S0549	it have a baby didn't it didn't they
S0547	mm mm
S0548	possibly
S0547	it do
S0548	mm
S0549	's be to the animal kingdom thing she's in disneyland at the minute
S0548	oh do they
S0549	well they go in and out of disneyland since the parent have get there
S0548	mm
S0547	who
S0549	she keep put different picture on her snapchat
S0547	's in isn't she
S0548	when's she due back
S0549	april
S0547	mm
S0548	have she enjoy it
S0549	she just like go away all the time she do say like she's the same as be when she go like she'd like to come back to england for like a week to just be like have some english things again and
S0548	mm
S0549	to see everyone but she's love it in america
S0548	mm
S0550	presumably she could've fly back for christmas holiday or whatever
S0549	yeah but they just decide to make a holiday out of it and go over and see her instead of mum and dad
S0548	so where do they stay when they go over cos presumably where she be there isn't enough room for all of them be there
S0549	i dunno
S0547	quite rich aren't they
S0547	the house isn't that big really be it
S0548	mm not amazingly no
S0549	i really like this chicken
S0547	mm
S0547	isn't there a another one like it with the creamy sauce
S0549	not like another chicken fillet
S0550	another help
S0547	no
S0548	well we've not have this for a while so
S0547	no we haven't
S0550	i do ask for your toad in the hole for you
S0548	mm
S0550	do fight your corner
S0549	why don't you want it
S0549	you can have it if you want
S0549	why don't you want it
S0548	it's not something that i really
S0548	appeal
S0549	do you like sausages
S0548	mm
S0549	do you like yorkshire puddings
S0548	yeah but i don't know that i want them together
S0549	do you like mash why you're gonna have them together i you have them together all the time
S0550	that's not toad in the hole
S0549	sausages in yorkshire puddings
S0550	it's not yorkshire pudding
S0548	what be it then
S0550	it's a batter mix but it's not yorkshire pudding mix
S0547	yes it be
S0548	it's not different
S0550	oh no it's not
S0549	yorkshire pudding as far as i'm concern
S0548	mm
S0547	mm
S0548	excuse me
S0550	what do you want for christmas dinner
S0549	a toad in the hole
S0548	there be erm in mark's
S0550	that's what we'll have for christmas breakfast toad in the hole
S0548	be you make it
S0550	no i'm not
S0549	what's wrong with aunt 's nothing but you wouldn't want toad in the hole for your breakfast not really
S0547	and there's quite a bite wrong with aunt 's
S0548	she make nice yorkshire puddings
S0547	yeah but
S0548	her roast potatoes aren't as nice as mine though obviously
S0547	cow make nice milk doesn't mean they're gonna make nice chocolate fondue do it
S0548	i hope not
S0549	that doesn't make any sense
S0547	it do
S0549	oh he say something really funny before what do you say
S0547	dunno
S0549	oh look it's her from the x factor
S0549	i say to she's very pretty
S0548	mm
S0549	what would you say to that
S0548	that young girl yeah she be
S0549	be she
