S0024	or you can sit outside do you want to sit bite cold for me though
S0144	what have you be up to then
S0012	be do the path
S0013	well if you have a look at the path you'll see
S0144	path
S0013	well you know new new grassy pathy area
S0144	where
S0012	and i've be work just outside the door
S0144	what in the front
S0013	yeah driveway
S0012	just outside the door by the kitchen didn't even notice it we're get this stone down there
S0024	oh you put the stone down
S0012	and finish off the whole path all the way round
S0024	it look really good
S0012	yeah oh lovely thank you we've get mar bar i'm have the biggest one seem as no one's here
S0144	be you talk to yourself
S0012	yeah and seem as only me here i think i'll eat the other two bits
S0013	it's not only you here i'm here
S0012	oh yeah so you be where's she go
S0012	shall i hide the biscuits up so they can't eat them
S0013	what the hobnob and the ginger
S0012	hobnob and the ginger i'll hide up
S0024	it look really good
S0012	oh you go outside to look i think you be just look from the conservatory
S0144	yeah it's good
S0013	and then i've be clear behind
S0012	yeah make a beautiful space behind there
S0024	have you
S0012	yeah
S0013	mm
S0144	yeah
S0012	where's diddle eye go
S0013	leave the
S0012	where's she go
S0144	don't know
S0012	why aren't you sit down drink tea
S0144	it be a good idea make it wonky
S0012	mm
S0013	yeah
S0144	mm
S0012	don't like straight line
S0144	no and it's a lot more friendly
S0012	yeah
S0013	mm
S0012	what be look for
S0024	biscuits they're under your pillow
S0012	oh they're show sorry i didn't mean to do that
S0024	which one would you like tom
S0144	er hobnob please
S0012	yeah
S0024	huh
S0012	that's the ones i be hide up weren't it
S0144	thank you
S0013	special
S0024	thank you mm thank you
S0012	do you want to hear a joke i now get by email if i can remember it all correctly
S0144	mhm
S0024	okay
S0012	this woman from glaswegian she go to the doctor and the doctor say what can i do for you she say i my husband come home piss every night every night and then he start i can't do the glaswegian accent then he start slap me around oh he say well i've get a good cure for that she she say what's that what's that i need to know cos oh simple he say just take a glass of water when he come home keep swig it and swish it around your mouth
S0024	mhm
S0012	so she say she do this two weeks later she go back to the doctor she say doctor that work absolutely wonderfully why do it work so she say he say well that's quite simple by take water and swish it around your mouth that stop your that stop you say bugger all and then you don't get slap around i think that's right
S0024	yeah no that's right i've hear that
S0144	yeah my dad say it
S0024	mm mm
S0012	be it oh
S0024	mm
S0144	must be do the round
S0024	mm
S0012	that must be do the email round yeah
S0012	i could have finish it off better than that say something but i didn't there you go
S0024	that's the one i be try to remember a few days ago
S0012	it's all these all these joke and stuff do the round don't they
S0144	oh yeah
S0012	be your dad still on on er the internet can he get it
S0144	yeah but he never use it though his computer's not very good be it
S0024	no but he go on his erm he's get it on his phone now
S0144	he do use it yeah but i don't know
S0024	it's like a hassle it's like i don't know it always scroll their finger we and it it take them too long to get on it doesn't it
S0144	i don't understand this thing yeah and then their thumb be like so big that you can't do anything
S0024	i try to use my hotmail
S0012	that's right that be
S0013	mm
S0012	we've get someone
S0144	well i've get small hand and i don't know how they do it but
S0012	we watch andrew do it this morning
S0013	yeah
S0012	and he go
S0144	yeah
S0012	and stop and there you go and i go what you know and you see all these go flood past
S0024	well he can use it then that's alright
S0012	but he can use it yeah
S0013	mm
S0144	yeah
S0012	but nevertheless that's still mind boggle i can't
S0024	i think it take quite a few hours of practice
S0013	yeah
S0012	yeah well while we sit there andrew have about six texts while we sit there and at i be sit there
S0144	i don't like it
S0012	mind you a couple of them be from
S0144	be read them or send
S0012	he be read a couple from and i don't know who the others
S0144	yeah for some people they're talk to you and they're write a text
S0012	and they write yeah
S0144	so they're have must be have two conversations in their head
S0013	yeah
S0024	two two conversations
S0012	yeah
S0013	how do they do that
S0012	very clever but really annoy
S0024	mm
S0144	yeah i think it's quite rude but yeah i don't know how they do it it's quite talented
S0012	i don't yeah
S0013	mm
S0012	god that really annoy me i just want to say put that thing down
S0024	i can't if if i if i need to send a text and i'm in the middle of conversation i can't keep follow the conversation and i find i'm like oh yeah er yeah and it that's only i only ever do it if i really need to send one
S0012	but that's very rude nevertheless that's very rude
S0024	only if i no if i say oh sorry i've just get to send this
S0013	yeah
S0012	oh yeah that that wasn't so bad yeah
S0024	cos sometimes you have to
S0013	mm
S0024	sometimes you've promise somebody that you be somewhere and you're run late or something you have to sorry i've just get a text
S0012	that's really weird cos
S0013	mm yeah
S0012	i've never have to do that
S0024	well
S0012	probably because i haven't get a phone but i've never have to send a text
S0024	lucky
S0013	you'll have to learn then wont you
S0012	no
S0024	have you never ever send a text message
S0013	you've be say you're go to get a phone
S0024	you must have send one to me
S0012	i i think i say hello to you once and when you put something in a different word come up and i just want to chuck it away
S0024	it's predictive you haven't get predictive anymore you ask for it to be take off
S0012	mm
S0013	what
S0012	predictive text
S0013	you have
S0024	have you
S0013	yeah
S0012	you be suppose to take it off and didn't didn't know how to do it
S0024	i'll do it for you if you want
S0013	why do you want to take it off
S0024	dad didn't want it
