S0689	what do it actually taste like truffle
S0688	er it's i think 's right it be earthy
S0689	right
S0687	try a bite
S0689	i didn't wanna not like it though and then have to like
S0688	that oh that look cute down there
S0687	we've buy some spaghetti as well we've get spaghetti we've get olive oil we've get garlic and we've get that now
S0688	and some chillies
S0689	yeah
S0687	we've get some chillies we can make that
S0688	it's just very we could we we won't use all of that
S0687	oh no yeah it's obviously we buy a chorizo here today
S0688	i just think that be quite unusual the sausage with with er
S0689	the truffles
S0688	yeah
S0687	perhaps we weren't mean to to get down there
S0688	this be a yeah
S0687	oh yeah oh jazz festival
S0689	oh be this the canal thing
S0688	no this lead down to the bay where the oyster
S0689	i think i be half asleep when you be talk about this
S0688	let's hope they have a
S0690	there's a cave there there's er cave do you want to go and look at the cave
S0689	yeah i'm not i'm not a cave person i must say
S0687	do cave not do it for you
S0689	i have a distress experience in a cave
S0687	oh dear you've have a lot of distressful experience
S0690	have you yeah what happen to you then
S0689	i have i know i mean
S0690	in a cave
S0689	on the ardeche there be this like manmade cave that if you they call it cave and you use to have to like crawl through these confine space and i have like a a mini panic attack
S0688	do you
S0689	yeah it be grim
S0688	oh love
S0689	honestly i've never
S0688	you've never tell me about it do you keep it to yourself oh love
S0689	it be horrible i hat it
S0688	it's like potholing do the same thing
S0687	potholing
S0688	mm
S0687	what's that
S0688	it's like cave work in confine space dr have a theory that it take you back to your birth when you be be squeeze through
S0690	think you be go the birth canal mate
S0688	you do have
S0687	well yeah but
S0688	a tight squeeze
S0689	oh god strewth
S0687	yeah you see and i didn't
S0688	get stuff you
S0687	i didn't have as tight a squeeze
S0690	oh god strewth
S0687	cos i be smaller and i don't have flashbacks to my birth
S0690	aye oh
S0688	it's really mm
S0690	eh
S0688	it it sort of re conjure those feel conjure
S0687	bloody nora you
S0687	eat the food off of my plate
S0690	oh dear
S0688	stick it up your leave nostril
S0690	oh breathe through your leave nostril you've get a theory for bloody everything except wish you have a theory for the bloody lottery number might be useful
S0689	wonder what dr be do now
S0688	we might see him
S0688	dr
S0688	i think you can just drive there and then turn round there
S0689	come on
S0687	misc
S0688	i think that's what we should get some truffle oil
S0687	yeah
S0688	he'd appreciate that
S0687	he'll like that
S0689	he do like cook do our
S0688	he like cook
S0687	he like cook i'm better at cake
S0688	and we'll get
S0687	although that that carrot cake you make be
S0688	it be really good
S0687	really good
S0688	i'm sorry i didn't eat any more
S0687	i know well i eat load of it
S0688	what do you do with it guy
S0687	cos these two didn't i eat it
S0688	do you
S0687	didn't like it
S0689	i don't like i don't like carrot cake
S0687	i be gonna ask him for the recipe cos it be
S0688	the only thing i'd have put in be raisins he say he didn't like raisins in carrot cake
S0687	right
S0689	oh
S0687	it stay cos he'd make it will all with erm oil it stay really moist
S0688	yeah it be really good
S0687	didn't dry out
S0689	nowt worse than dry cake
S0688	and what do he put in the cheese cream cheese and
S0687	i think it be probably cream cheese cream and sugar i think
S0689	oh be that cream cheese
S0687	uhu
S0688	be it straight on to rovinj
S0690	i think so
S0688	i think it say go back in the book but
S0687	well show you the map so
S0690	i think it's up here a bite and then turn right i
S0687	start off at porec then cut down here go up here down here and can you see how at the mouth of the that river there we're up here at the tip of it they make a bite there's no road over so you have to come inland to get over it to get back out to rovinj there can you see
S0689	that sound very confuse
S0688	yeah the book describe just go back but
S0689	that's a blind corner that innit
S0688	it be
S0687	that be an excellent cake that be better than our cake at properly a slice of that and
S0688	cup of tea
S0687	mm
S0688	cake be
S0687	they're better aren't they airy
S0688	yeah
S0687	and just taste of nothing
S0688	artificial
S0687	we do a proper cake
S0688	even not cake our fruit tarts be better aren't they
S0687	everything abroad be like like you know like where the birthday cake be like look like this glisten
S0688	yeah
S0687	like frost like costco cake
S0688	yeah just like that
S0687	i always use to want a costco birthday cake cos that be always
S0688	do you
S0687	mm
S0688	rather than the one i'd make
S0687	mm it wasn't that i didn't want the one you'd make i just think that you know like
S0688	that be the thing to do
S0687	cos you could have your name ice on it and everything
S0688	yeah sorry
S0687	it's alright
S0689	we have a horrible childhood didn't we
S0689	yeah
S0687	cruise
S0688	so yeah you've be you've gotta be careful with those truffles once you open them
S0687	mm
S0688	that be my think well how do they stay fresh
S0689	well when you sterilise it all the microorganisms can't respire so they die then
S0687	yeah
S0689	they they
S0688	but then she be say you've gotta keep some moisture in there so they don't
S0687	dry out
S0688	yeah
S0687	mm interest her say about in posh restaurants where they give you a meal
S0688	yeah and then you
S0687	and they give you your erm
S0688	gold grater
S0687	they they give it you at the side and you grate how much you want
S0689	thing be though you might get if you do a naff job somebody else might get the manky leftovers of yours do you understand what i mean if you do a naff job grate do you understand what i'm try to say or not
S0687	no
S0689	i'm
S0688	it to be honest it's it's like a slice
S0687	but it's like a wafer thin slice isn't it it's like you know like the cheese slicer
S0688	that's why i feel like i i've never see any i've see i think what's it call though the one who do all things it like what's that
S0689	heston blumenthal
S0688	yeah i've see him grate truffles into something but i would imagine it's like overwhelm if you're have just a thin slice
S0687	mm well
S0688	of it
S0687	yeah
S0688	you could taste it in there
S0687	it's so strong
S0688	and that's why i think we'd be better i don't
S0687	okay
S0688	but if you can make your own oil maybe it's better to get some oil
S0687	grate a bite in
S0688	buy one truffle and could make our own oil
S0689	if you dice the truffle dead thin
S0687	i think one truffle's a lot though isn't it
S0688	no you could make like three or four bottle couldn't you
S0687	yeah i be say the most expensive
S0689	how much be one truffle
S0688	depend on the size of
S0687	there be one that that be eight
S0689	eight quid
S0688	be it
S0687	yeah eight pound
S0689	oh that's not that bad
S0688	it say eighty
S0689	if you can make
S0689	if you can make three bottle out of that that's you know three pound a bottle that's not that bad
S0688	do you mean eighty
S0690	do what t'internet say
S0688	yeah so about a tenner
S0687	it be er erm when it be her birthday we go to jamie's i have that my starter be truffle oil
S0688	yeah
S0687	and that that be where we taste it be really good and i think that have bits of shave truffle as well
S0689	where do jamie oliver even like live now be it
S0688	primrose hill
S0687	no he oh i think he live in erm essex like in sussex
S0688	no well they've get a house off primrose hill
S0689	where's that
S0687	london
S0688	the
S0687	the posh bite
S0689	have you see the erm you know jam cordon's carpool
S0687	mm
S0689	he do one with the red hot chili pepper
S0687	mm
S0688	oh do he
S0689	yeah they all whip off their top and start sing californication
S0687	yeah
S0688	oh will you find it for me
S0689	er yeah but we might have to wait till we get home but don't you remember say if you try stream videos it use lot and lot of the internet
S0688	yeah well when we're on our last day you can do it for me cos we won't mind then
S0689	yeah he say in an interview afterwards like apparently like halfway through film they jam cordon like pull over to you know like a mexican like what's it call you know like where it's like a van and it they like sell food on the street
