speaker_number,vo_overlap,vo_total,total_token_number,overlap,begin,end,file
2,46,164,404,0.2804878048780488,0,50,S5RP.tsv
2,81,253,789,0.3201581027667984,0,100,S5RP.tsv
2,104,351,1240,0.2962962962962963,0,150,S5RP.tsv
2,130,447,1785,0.29082774049217003,0,200,S5RP.tsv
2,148,559,2424,0.26475849731663686,0,250,S5RP.tsv
2,164,644,2962,0.2546583850931677,0,300,S5RP.tsv
2,192,688,3430,0.27906976744186046,0,350,S5RP.tsv
2,207,726,3789,0.28512396694214875,0,400,S5RP.tsv
2,242,806,4406,0.3002481389578164,0,450,S5RP.tsv
2,261,859,4851,0.30384167636786963,0,500,S5RP.tsv
2,285,926,5426,0.3077753779697624,0,550,S5RP.tsv
2,306,983,5887,0.31129196337741605,0,600,S5RP.tsv
2,321,1025,6353,0.3131707317073171,0,650,S5RP.tsv
2,322,1030,6405,0.312621359223301,0,657,S5RP.tsv
