speaker_number,vo_overlap,vo_total,total_token_number,overlap,begin,end,file
2,40,188,479,0.2127659574468085,0,50,S6R4.tsv
2,61,348,1251,0.1752873563218391,0,100,S6R4.tsv
2,82,460,1869,0.1782608695652174,0,150,S6R4.tsv
2,93,564,2709,0.16489361702127658,0,200,S6R4.tsv
2,120,639,3532,0.18779342723004694,0,250,S6R4.tsv
2,171,756,4498,0.2261904761904762,0,300,S6R4.tsv
2,200,839,5263,0.23837902264600716,0,350,S6R4.tsv
2,223,897,6278,0.24860646599777034,0,400,S6R4.tsv
2,234,971,6897,0.24098867147270855,0,450,S6R4.tsv
2,290,1034,7546,0.2804642166344294,0,500,S6R4.tsv
2,321,1092,8241,0.29395604395604397,0,550,S6R4.tsv
2,347,1127,8678,0.30789707187222715,0,600,S6R4.tsv
2,361,1180,9578,0.3059322033898305,0,650,S6R4.tsv
2,370,1228,10220,0.30130293159609123,0,700,S6R4.tsv
2,383,1282,10973,0.29875195007800315,0,750,S6R4.tsv
2,402,1345,12117,0.2988847583643123,0,800,S6R4.tsv
2,412,1390,12910,0.29640287769784174,0,842,S6R4.tsv
