speaker_number,vo_overlap,vo_total,total_token_number,overlap,begin,end,file
2,44,166,472,0.26506024096385544,0,50,S8GL.tsv
2,66,236,854,0.2796610169491525,0,100,S8GL.tsv
2,91,290,1227,0.3137931034482759,0,150,S8GL.tsv
2,108,332,1536,0.3253012048192771,0,200,S8GL.tsv
2,126,363,1823,0.34710743801652894,0,250,S8GL.tsv
2,142,401,2140,0.3541147132169576,0,300,S8GL.tsv
2,154,432,2455,0.35648148148148145,0,350,S8GL.tsv
2,163,450,2809,0.3622222222222222,0,400,S8GL.tsv
2,178,483,3120,0.36853002070393376,0,450,S8GL.tsv
2,191,522,3488,0.36590038314176243,0,500,S8GL.tsv
2,204,563,3842,0.3623445825932504,0,550,S8GL.tsv
2,216,607,4256,0.35584843492586493,0,600,S8GL.tsv
2,228,630,4496,0.3619047619047619,0,650,S8GL.tsv
2,236,658,4832,0.3586626139817629,0,700,S8GL.tsv
2,249,685,5172,0.3635036496350365,0,750,S8GL.tsv
2,261,712,5527,0.36657303370786515,0,800,S8GL.tsv
2,275,730,5872,0.3767123287671233,0,850,S8GL.tsv
2,278,737,6020,0.37720488466757124,0,871,S8GL.tsv
