speaker_number,vo_overlap,vo_total,total_token_number,overlap,begin,end,file
2,58,177,533,0.327683615819209,0,50,SBG4.tsv
2,132,429,1774,0.3076923076923077,0,100,SBG4.tsv
2,153,548,2312,0.2791970802919708,0,150,SBG4.tsv
2,196,634,2988,0.30914826498422715,0,200,SBG4.tsv
2,224,701,3475,0.3195435092724679,0,250,SBG4.tsv
2,247,754,3870,0.3275862068965517,0,300,SBG4.tsv
2,270,808,4321,0.3341584158415842,0,350,SBG4.tsv
2,296,888,4819,0.3333333333333333,0,400,SBG4.tsv
2,315,954,5313,0.330188679245283,0,450,SBG4.tsv
2,346,1031,6100,0.3355965082444229,0,500,SBG4.tsv
2,366,1084,6709,0.3376383763837638,0,550,SBG4.tsv
2,387,1146,7584,0.337696335078534,0,600,SBG4.tsv
2,414,1204,8416,0.3438538205980066,0,650,SBG4.tsv
2,434,1253,9161,0.3463687150837989,0,700,SBG4.tsv
2,451,1306,9976,0.3453292496171516,0,750,SBG4.tsv
2,451,1306,9976,0.3453292496171516,0,750,SBG4.tsv
