speaker_number,vo_overlap,vo_total,total_token_number,overlap,begin,end,file
2,41,186,510,0.22043010752688172,0,50,SDY6.tsv
2,85,265,1003,0.32075471698113206,0,100,SDY6.tsv
2,121,331,1467,0.36555891238670696,0,150,SDY6.tsv
2,151,405,1986,0.3728395061728395,0,200,SDY6.tsv
2,170,478,2474,0.35564853556485354,0,250,SDY6.tsv
2,193,533,2985,0.3621013133208255,0,300,SDY6.tsv
2,213,589,3505,0.3616298811544992,0,350,SDY6.tsv
2,235,668,4167,0.35179640718562877,0,400,SDY6.tsv
2,252,720,4676,0.35,0,450,SDY6.tsv
2,273,762,5157,0.35826771653543305,0,500,SDY6.tsv
2,284,804,5656,0.35323383084577115,0,550,SDY6.tsv
2,305,841,6192,0.3626634958382878,0,600,SDY6.tsv
2,322,893,6646,0.36058230683090703,0,626,SDY6.tsv
