speaker_number,vo_overlap,vo_total,total_token_number,overlap,begin,end,file
2,40,134,316,0.29850746268656714,0,50,SHHG.tsv
2,73,280,1189,0.26071428571428573,0,100,SHHG.tsv
2,121,354,1749,0.3418079096045198,0,150,SHHG.tsv
2,158,408,2257,0.3872549019607843,0,200,SHHG.tsv
2,179,467,2757,0.38329764453961457,0,250,SHHG.tsv
2,215,573,3702,0.37521815008726006,0,300,SHHG.tsv
2,237,632,4360,0.375,0,350,SHHG.tsv
2,257,673,4949,0.3818722139673105,0,400,SHHG.tsv
2,278,714,5477,0.38935574229691877,0,450,SHHG.tsv
2,293,745,5897,0.3932885906040268,0,500,SHHG.tsv
2,298,778,6284,0.38303341902313626,0,550,SHHG.tsv
2,312,806,6728,0.3870967741935484,0,600,SHHG.tsv
2,323,836,7301,0.38636363636363635,0,650,SHHG.tsv
2,336,848,7682,0.39622641509433965,0,700,SHHG.tsv
2,350,880,8206,0.3977272727272727,0,750,SHHG.tsv
2,365,899,8565,0.40600667408231367,0,800,SHHG.tsv
2,376,926,8948,0.4060475161987041,0,850,SHHG.tsv
2,384,943,9240,0.40721102863202546,0,900,SHHG.tsv
2,386,948,9409,0.40717299578059074,0,928,SHHG.tsv
