speaker_number,vo_overlap,vo_total,total_token_number,overlap,begin,end,file
2,71,246,635,0.2886178861788618,0,50,SKL5.tsv
2,104,314,1047,0.33121019108280253,0,100,SKL5.tsv
2,137,377,1472,0.363395225464191,0,150,SKL5.tsv
2,157,422,1877,0.37203791469194314,0,200,SKL5.tsv
2,203,498,2505,0.40763052208835343,0,250,SKL5.tsv
2,217,551,2916,0.3938294010889292,0,300,SKL5.tsv
2,240,604,3408,0.3973509933774834,0,350,SKL5.tsv
2,260,643,3942,0.40435458786936235,0,400,SKL5.tsv
2,277,674,4364,0.41097922848664686,0,450,SKL5.tsv
2,292,706,4742,0.41359773371104813,0,500,SKL5.tsv
2,307,727,5162,0.422283356258597,0,550,SKL5.tsv
2,316,750,5599,0.42133333333333334,0,600,SKL5.tsv
2,330,792,6116,0.4166666666666667,0,650,SKL5.tsv
2,333,806,6468,0.413151364764268,0,700,SKL5.tsv
2,343,854,7029,0.4016393442622951,0,750,SKL5.tsv
2,351,875,7503,0.40114285714285713,0,800,SKL5.tsv
2,359,897,7966,0.40022296544035674,0,850,SKL5.tsv
2,373,915,8335,0.40765027322404374,0,900,SKL5.tsv
2,379,926,8793,0.40928725701943847,0,950,SKL5.tsv
2,389,960,9245,0.40520833333333334,0,1000,SKL5.tsv
2,415,995,9807,0.41708542713567837,0,1050,SKL5.tsv
2,425,1006,10212,0.4224652087475149,0,1100,SKL5.tsv
2,438,1027,10685,0.42648490749756574,0,1150,SKL5.tsv
2,450,1048,11065,0.42938931297709926,0,1200,SKL5.tsv
2,457,1081,11460,0.4227567067530065,0,1250,SKL5.tsv
2,469,1093,11862,0.42909423604757546,0,1279,SKL5.tsv
