speaker_number,vo_overlap,vo_total,total_token_number,overlap,begin,end,file
2,52,173,481,0.30057803468208094,0,50,SV8E.tsv
2,95,312,1047,0.30448717948717946,0,100,SV8E.tsv
2,127,430,1795,0.29534883720930233,0,150,SV8E.tsv
2,163,514,2477,0.31712062256809337,0,200,SV8E.tsv
2,192,599,3317,0.32053422370617696,0,250,SV8E.tsv
2,223,681,4025,0.3274596182085169,0,300,SV8E.tsv
2,253,759,4598,0.3333333333333333,0,350,SV8E.tsv
2,272,803,5229,0.33872976338729766,0,400,SV8E.tsv
2,287,842,5629,0.34085510688836107,0,450,SV8E.tsv
2,298,890,6161,0.3348314606741573,0,500,SV8E.tsv
2,318,949,6757,0.3350895679662803,0,550,SV8E.tsv
2,340,998,7388,0.3406813627254509,0,600,SV8E.tsv
2,359,1049,8098,0.342230695900858,0,650,SV8E.tsv
2,372,1085,8497,0.34285714285714286,0,700,SV8E.tsv
2,391,1119,8993,0.3494191242180518,0,750,SV8E.tsv
2,412,1173,9783,0.3512361466325661,0,800,SV8E.tsv
2,417,1177,9832,0.3542905692438403,0,811,SV8E.tsv
