speaker_number,vo_overlap,vo_total,total_token_number,overlap,begin,end,file
2,34,158,520,0.21518987341772153,0,50,SVFD.tsv
2,69,240,942,0.2875,0,100,SVFD.tsv
2,88,280,1271,0.3142857142857143,0,150,SVFD.tsv
2,112,343,1725,0.32653061224489793,0,200,SVFD.tsv
2,125,398,2154,0.314070351758794,0,250,SVFD.tsv
2,140,471,2823,0.29723991507430997,0,300,SVFD.tsv
2,148,517,3372,0.2862669245647969,0,350,SVFD.tsv
2,174,563,3855,0.30905861456483125,0,400,SVFD.tsv
2,184,606,4294,0.30363036303630364,0,450,SVFD.tsv
2,188,620,4459,0.3032258064516129,0,472,SVFD.tsv
