speaker_number,vo_overlap,vo_total,total_token_number,overlap,begin,end,file
2,21,187,527,0.11229946524064172,0,50,SBUN.tsv
2,31,238,866,0.13025210084033614,0,100,SBUN.tsv
2,37,310,1262,0.11935483870967742,0,150,SBUN.tsv
2,59,360,1608,0.1638888888888889,0,200,SBUN.tsv
2,76,440,2184,0.17272727272727273,0,250,SBUN.tsv
2,90,528,2681,0.17045454545454544,0,300,SBUN.tsv
2,104,596,3224,0.174496644295302,0,350,SBUN.tsv
2,126,654,3749,0.1926605504587156,0,400,SBUN.tsv
2,136,718,4251,0.1894150417827298,0,450,SBUN.tsv
2,146,767,4687,0.19035202086049544,0,500,SBUN.tsv
2,156,818,5091,0.19070904645476772,0,550,SBUN.tsv
2,171,870,5599,0.19655172413793104,0,600,SBUN.tsv
2,173,881,5693,0.1963677639046538,0,608,SBUN.tsv
